lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,3,3,2,1,1,0.0,0,B0005,0.0020332749506148,0.0021346032195391,0.7434862232362969,0.0462017664114608,31,1.307151135103202
0.0007,16,16,3,3,2,1,1,0.0,0,B0006,0.0031945318570995,0.0025967226635354,0.7587863491669349,0.0509580480742289,85,1.460494135044239
0.0007,16,16,3,3,2,1,1,0.0,0,B0007,0.0022671577494798,0.001229972220608,0.7473820254194569,0.0350709597902314,53,0.8404491410672086
0.0007,16,16,3,3,2,1,1,0.0,0,B0018,0.001892261181796,0.0040367016724,0.7063498823040367,0.0635350428692704,34,0.9925522208213806
0.0007,16,16,3,3,2,1,1,0.1,0,B0005,0.0012512556221779,0.0012246352686945,0.0151090357819584,0.0346670872766438,59,1.047363255002083
0.0007,16,16,3,3,2,1,1,0.1,0,B0006,0.0041807091646743,0.0035646843219486,0.0293372178630322,0.0589798024491492,35,1.050029779882992
0.0007,16,16,3,3,2,1,1,0.1,0,B0007,0.0028801074950024,0.0012559794791741,0.0201281401415137,0.0348635235620741,47,0.9043404687311232
0.0007,16,16,3,3,2,1,1,0.1,0,B0018,0.0038353524363154,0.0041857520118355,0.0288722910402998,0.0640499106557457,15,1.1266463573162373
0.0007,16,16,3,3,2,1,1,0.2,0,B0005,0.0025998179390583,0.0020219237734896,0.0172668601372973,0.0442977975122354,31,1.550517647354691
0.0007,16,16,3,3,2,1,1,0.2,0,B0006,0.0024354466401167,0.0034349861428684,0.029120898057153,0.0571435101959233,68,1.2321156909910298
0.0007,16,16,3,3,2,1,1,0.2,0,B0007,0.0034492951171058,0.0010375445635872,0.0166516158005919,0.0313383039677622,49,0.9469899384662358
0.0007,16,16,3,3,2,1,1,0.2,0,B0018,0.0067034341273424,0.0041633781899387,0.0485760935568701,0.0607573107463503,8,1.1932961817445429
