lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,3,3,2,1,1,0.1,0,B0005,0.0012512556221779,0.0012246352686945,0.0151090357819584,0.0346670872766438,59,0.9790147772622764
0.0007,16,16,3,3,2,1,1,0.1,0,B0006,0.0041807091646743,0.0035646843219486,0.0293372178630322,0.0589798024491492,35,0.8999588629778694
0.0007,16,16,3,3,2,1,1,0.1,0,B0007,0.0028801074950024,0.0012559794791741,0.0201281401415137,0.0348635235620741,47,0.7860940412147758
0.0007,16,16,3,3,2,1,1,0.1,0,B0018,0.0038353524363154,0.0041857520118355,0.0288722910402998,0.0640499106557457,15,0.9044642448425292
0.0007,16,16,3,3,2,1,2,0.1,0,B0005,0.0015658399289739,0.0014114271803659,0.0153772740959208,0.0372529344443052,31,0.8487632539537218
0.0007,16,16,3,3,2,1,2,0.1,0,B0006,0.003609095620711,0.003643878143824,0.0361919293342878,0.0592696597877491,19,0.8721000768136287
0.0007,16,16,3,3,2,1,2,0.1,0,B0007,0.0007654070747472,0.0011664693513012,0.0138703716594893,0.0338707933661904,124,0.8008050959685753
0.0007,16,16,3,3,2,1,2,0.1,0,B0018,0.0039864543714034,0.0055296523884559,0.0278675475098571,0.0738376078211122,10,1.674610960483551
0.0007,16,16,3,3,2,1,4,0.1,0,B0005,0.0007487707521899,0.0014403321006934,0.018047341517995,0.0375201472685874,92,1.864540083307616
0.0007,16,16,3,3,2,1,4,0.1,0,B0006,0.0040647257119417,0.0035564036613019,0.0302144261045211,0.0588652064598237,35,1.936321050980512
0.0007,16,16,3,3,2,1,4,0.1,0,B0007,0.0023042940592858,0.0013465583906508,0.0189429767295713,0.0362032421795193,47,1.6805240665514445
0.0007,16,16,3,3,2,1,4,0.1,0,B0018,0.003478855102161,0.0049174179439432,0.0405482673587793,0.068942016897873,10,1.999243402481079
0.0007,16,16,3,3,2,2,1,0.1,0,B0005,0.0027909563837705,0.0024000725659009,0.0112468322561418,0.0488612672181321,37,1.9069477717081704
0.0007,16,16,3,3,2,2,1,0.1,0,B0006,0.0035688315507617,0.0034480600055151,0.0361465755983567,0.0575968968802028,19,0.9247637278791788
0.0007,16,16,3,3,2,2,1,0.1,0,B0007,0.0026388230196769,0.0009561074301018,0.0167945391498736,0.0304614802698881,62,1.5141779056617193
0.0007,16,16,3,3,2,2,1,0.1,0,B0018,0.0035748121267913,0.0050534606659008,0.0327766167967864,0.0703280170193427,15,2.180236878761878
0.0007,16,16,3,3,2,2,2,0.1,0,B0005,0.0015275314494612,0.0018191285364862,0.0132365719414824,0.0424453516013122,59,2.031089461177861
0.0007,16,16,3,3,2,2,2,0.1,0,B0006,0.0036386633979749,0.003631069480131,0.0346791365957987,0.0592520479513367,19,2.119588813919952
0.0007,16,16,3,3,2,2,2,0.1,0,B0007,0.0031136031094421,0.0012483434518799,0.0221112543469836,0.0346331155685073,34,1.8703269277300156
0.0007,16,16,3,3,2,2,2,0.1,0,B0018,0.0030344637799198,0.0049985277000814,0.0346692752703876,0.0698450560088963,15,2.212747386785654
0.0007,16,16,3,3,2,2,4,0.1,0,B0005,0.0026279039545139,0.0015649098277208,0.0153236124278658,0.0392610306514157,66,1.9469956365124927
0.0007,16,16,3,3,2,2,4,0.1,0,B0006,0.0037134209520776,0.0034247864192972,0.0323382219919978,0.0576212664011698,19,2.067204565241717
0.0007,16,16,3,3,2,2,4,0.1,0,B0007,0.0017041417627802,0.0012355557300907,0.021030849284385,0.0345155916199122,47,1.842300702616112
0.0007,16,16,3,3,2,2,4,0.1,0,B0018,0.0008182068578089,0.0055209830364522,0.0352965946121465,0.073460180862855,55,2.146171656109038
0.0007,16,16,3,3,2,4,1,0.1,0,B0005,0.0032428263248653,0.002469687256962,0.0244131999204025,0.0490926351715244,14,2.005857840180397
0.0007,16,16,3,3,2,4,1,0.1,0,B0006,0.0036912944316017,0.0038098974813086,0.0361515174759191,0.060656443919077,19,2.0694486542024477
0.0007,16,16,3,3,2,4,1,0.1,0,B0007,0.0035581128451869,0.0012721841369057,0.0153683331360212,0.0353350475301151,47,1.50240985880193
0.0007,16,16,3,3,2,4,1,0.1,0,B0018,0.004011762348692,0.004928297343819,0.0333448875194404,0.069405397456241,10,2.1862191557884216
0.0007,16,16,3,3,2,4,2,0.1,0,B0005,0.001644458571848,0.0020121005301397,0.0148306141093765,0.044610602028582,74,2.0800157035550764
0.0007,16,16,3,3,2,4,2,0.1,0,B0006,0.0031416072901761,0.0032133316271938,0.0266576545642565,0.0560559411443828,68,2.143645658331402
0.0007,16,16,3,3,2,4,2,0.1,0,B0007,0.0006756764471194,0.0009444232317036,0.0140087141760961,0.0304105049979542,130,1.8775995943281385
0.0007,16,16,3,3,2,4,2,0.1,0,B0018,0.00433008591442,0.0044534694073566,0.0480341893115303,0.0649826215098958,10,2.2376803119977318
0.0007,16,16,3,3,2,4,4,0.1,0,B0005,0.0035874167196674,0.0016419192959022,0.0217972485575415,0.0399300305726713,66,2.059875011444092
0.0007,16,16,3,3,2,4,4,0.1,0,B0006,0.0035064394945617,0.0040227705612778,0.0438593473969465,0.0618902766931311,12,2.106951032915423
0.0007,16,16,3,3,2,4,4,0.1,0,B0007,0.0034915221945589,0.0010350970500439,0.0174720709649005,0.0316949481629547,34,1.8918770608447848
0.0007,16,16,3,3,2,4,4,0.1,0,B0018,0.0032699917109035,0.0049870367705201,0.0487898424199864,0.0689129300865084,10,2.2030591487884523
