lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,2,2,1,1,1,0.1,0,B0005,0.003330964667146,0.0022974763290091,0.01235130785813,0.0477725953895789,142,0.6341062175730864
0.0007,16,16,2,2,1,1,1,0.1,0,B0006,0.0035542272750965,0.0032755673164501,0.0248118460613883,0.0566921910597619,53,0.7223809228360074
0.0007,16,16,2,2,1,1,1,0.1,0,B0007,0.0041916610207408,0.0009982374642277,0.0116006121587121,0.0313812049599297,63,0.6165442129152011
0.0007,16,16,2,2,1,1,1,0.1,0,B0018,0.0297819739612548,0.0035731460472258,0.1319623370641124,0.0427988329526613,2,0.7595413556465735
0.0007,16,16,2,2,2,1,1,0.1,0,B0005,0.0008262854663328,0.002100993132834,0.0167776948746191,0.0455284970560269,115,1.1827826846729623
0.0007,16,16,2,2,2,1,1,0.1,0,B0006,0.0046615656941536,0.002582698711194,0.0226281818954741,0.0503139662272902,26,1.2397160875169857
0.0007,16,16,2,2,2,1,1,0.1,0,B0007,0.0038278651449622,0.000726149600814,0.018632301956262,0.0262951198796359,42,1.0810211663660796
0.0007,16,16,2,2,2,1,1,0.1,0,B0018,0.0037945357743529,0.0045456496300175,0.0342910864969236,0.0665436826111915,11,1.2344211164068004
0.0007,16,16,2,2,3,1,1,0.1,0,B0005,0.0007094547562744,0.0013461235253739,0.0152374941187057,0.0363717670083543,100,1.6448874473571775
0.0007,16,16,2,2,3,1,1,0.1,0,B0006,0.0031803714942229,0.0021277756022755,0.0267682952507831,0.045344475276717,23,1.7621923244162785
0.0007,16,16,2,2,3,1,1,0.1,0,B0007,0.0025289546594851,0.0011307078799291,0.0162256023571991,0.0332322262562013,37,1.506684281360144
0.0007,16,16,2,2,3,1,1,0.1,0,B0018,0.0055422001422139,0.0036151963383114,0.025292005000477,0.0595921788315035,19,1.8128146019534788
0.0007,16,16,2,2,4,1,1,0.1,0,B0005,0.000879509511703,0.0018246349458682,0.014168267095517,0.0424801245293349,130,1.9948937535285949
0.0007,16,16,2,2,4,1,1,0.1,0,B0006,0.0034965414617379,0.0025948104642642,0.0241807097896448,0.050362086562523,55,1.508376085190546
0.0007,16,16,2,2,4,1,1,0.1,0,B0007,0.0043075122844634,0.0011558125945157,0.0187925771516674,0.0334738186020496,34,1.0469348033269246
0.0007,16,16,2,2,4,1,1,0.1,0,B0018,0.0030703505566951,0.0050543171722286,0.0220290702683227,0.0707516028073284,17,1.2205704753078632
0.0007,16,16,2,3,1,1,1,0.1,0,B0005,0.0027072587122564,0.0021205653818989,0.0138330890478078,0.045841356261677,94,0.4156388988097508
0.0007,16,16,2,3,1,1,1,0.1,0,B0006,0.0029843252268619,0.0033682078840987,0.0277265392857921,0.0573701295550594,55,0.4265269710904076
0.0007,16,16,2,3,1,1,1,0.1,0,B0007,0.0037076834220594,0.0008164501118699,0.0144674069351521,0.028204955866023,92,0.3758126984179859
0.0007,16,16,2,3,1,1,1,0.1,0,B0018,0.0041248775492219,0.0031028771287916,0.043125683875272,0.0540082835145996,7,0.4520989551878812
0.0007,16,16,2,3,2,1,1,0.1,0,B0005,0.001877779240853,0.0019045407035654,0.0154178107198456,0.0433678432221392,50,0.7199940919876099
0.0007,16,16,2,3,2,1,1,0.1,0,B0006,0.0032825032169718,0.0029061027841332,0.025636901108978,0.0532951943389893,64,0.7382862233279044
0.0007,16,16,2,3,2,1,1,0.1,0,B0007,0.0022712852676502,0.0011901706420758,0.0171899629875875,0.0340678903626018,50,0.6561688590049743
0.0007,16,16,2,3,2,1,1,0.1,0,B0018,0.0036965748750726,0.0043696865880823,0.0242281148590493,0.0656581031353689,15,0.775622166120089
0.0007,16,16,2,3,3,1,1,0.1,0,B0005,0.0030808342465509,0.002742440455352,0.0128821709810238,0.0522096291738029,84,1.0209797015830653
0.0007,16,16,2,3,3,1,1,0.1,0,B0006,0.0025313874674876,0.0029544815188273,0.0249755461214101,0.0537782826656178,25,1.0543772315979003
0.0007,16,16,2,3,3,1,1,0.1,0,B0007,0.0028277410634068,0.0008714425050129,0.010398981007299,0.0293364722906576,57,0.9346282237044004
0.0007,16,16,2,3,3,1,1,0.1,0,B0018,0.0032375998865894,0.003375034299097,0.0284796881332078,0.0573927266021383,19,1.0871085187663203
0.0007,16,16,2,3,4,1,1,0.1,0,B0005,0.0048899800028829,0.0019990053738833,0.0117851372404691,0.0445546447997516,25,1.315854705174764
0.0007,16,16,2,3,4,1,1,0.1,0,B0006,0.0029884619606574,0.0041628909105687,0.0246909899959505,0.0640462836355311,46,1.3624772131443024
0.0007,16,16,2,3,4,1,1,0.1,0,B0007,0.0009869983963047,0.0016049504723923,0.0168083990702125,0.0397076596185664,66,1.1918766786312234
0.0007,16,16,2,3,4,1,1,0.1,0,B0018,0.1131508431356886,0.0774750146083533,0.1982002581961803,0.271194913175457,1,1.41136246101529
0.0007,16,16,2,4,1,1,1,0.1,0,B0005,0.0030221243477648,0.0023233034148038,0.0130723469842256,0.0480230648786637,48,0.4715897161133435
0.0007,16,16,2,4,1,1,1,0.1,0,B0006,0.004848312290216,0.0020778651426856,0.0331743086421351,0.0443600230676318,11,0.4914731901200091
0.0007,16,16,2,4,1,1,1,0.1,0,B0007,0.0046841601013309,0.001093645968649,0.0131090130452338,0.0328094701214258,41,0.4314766506572346
0.0007,16,16,2,4,1,1,1,0.1,0,B0018,0.0029137051036662,0.0039597165644712,0.0171114920341147,0.0626931915198014,43,0.5136067687824208
0.0007,16,16,2,4,2,1,1,0.1,0,B0005,0.0020536533723186,0.0023039551410225,0.0118091324759408,0.0478540446084981,63,0.8300617479645045
0.0007,16,16,2,4,2,1,1,0.1,0,B0006,0.0027967820907096,0.0037171933023879,0.0211478591722778,0.0606009077366045,45,0.8510321893190083
0.0007,16,16,2,4,2,1,1,0.1,0,B0007,0.0026251412766416,0.0008629753509012,0.0149795512846096,0.0289920101274583,43,0.7467176298941335
0.0007,16,16,2,4,2,1,1,0.1,0,B0018,0.0038124764257151,0.0047206670278683,0.0328112820380809,0.0679191361004086,14,0.8835418745875359
0.0007,16,16,2,4,3,1,1,0.1,0,B0005,0.0041135120693416,0.0024133059757462,0.0195642777197595,0.0487342776007342,28,1.2397880890430548
0.0007,16,16,2,4,3,1,1,0.1,0,B0006,0.0056566730067557,0.0026563561793106,0.0387784847711734,0.0500597547412185,11,1.897517325448208
0.0007,16,16,2,4,3,1,1,0.1,0,B0007,0.0021542157305197,0.0008599898075772,0.0128038854006796,0.0290447220114472,80,1.5518108918116642
0.0007,16,16,2,4,3,1,1,0.1,0,B0018,0.0017718712384205,0.0033959176119727,0.026157605572305,0.0576844483250039,92,2.397854229094277
0.0007,16,16,2,4,4,1,1,0.1,0,B0005,0.0031018104165836,0.0021780679359965,0.0155680322374538,0.0464093907600435,58,2.210243191983965
0.0007,16,16,2,4,4,1,1,0.1,0,B0006,0.0042525437999178,0.002344540048701,0.0246200462028421,0.0477904314281334,51,2.20178488929673
0.0007,16,16,2,4,4,1,1,0.1,0,B0007,0.0019135534271804,0.0008578714358009,0.0129610746673012,0.0290012498295458,71,1.8832599959097616
0.0007,16,16,2,4,4,1,1,0.1,0,B0018,0.068871756610663,0.0751585229688013,0.0641685321850217,0.2733985455898807,66,3.2143874476695884
0.0007,16,16,2,5,1,1,1,0.1,0,B0005,0.0033264141308055,0.0022574275114623,0.0174791163432759,0.0471897818471527,50,1.152156331539154
0.0007,16,16,2,5,1,1,1,0.1,0,B0006,0.0027945642729967,0.0034242252198358,0.0294016655668047,0.0577735191001384,32,1.117337447840993
0.0007,16,16,2,5,1,1,1,0.1,0,B0007,0.0042151339584961,0.0008938545332057,0.0140460629837177,0.0295656112423952,98,0.9829222882116164
0.0007,16,16,2,5,1,1,1,0.1,0,B0018,0.0301072058146414,0.0039472111190358,0.0780599964436552,0.0577743437449096,4,1.2187785042656794
0.0007,16,16,2,5,2,1,1,0.1,0,B0005,0.0020409445167474,0.0022125199653341,0.0151071019750422,0.0467942039036674,56,2.001424195631495
0.0007,16,16,2,5,2,1,1,0.1,0,B0006,0.0030133018391841,0.004598427854944,0.0219338670995941,0.0674560476865245,38,2.0556553954427894
0.0007,16,16,2,5,2,1,1,0.1,0,B0007,0.0025064247957844,0.0010075714490085,0.014557206108587,0.0314066907159865,41,1.7475376836546177
0.0007,16,16,2,5,2,1,1,0.1,0,B0018,0.0042960825679904,0.0045158288558013,0.0266120192200342,0.0666708997639637,8,2.087400740590589
0.0007,16,16,2,5,3,1,1,0.1,0,B0005,0.003403208739612,0.0029040968095484,0.0141572152407929,0.0537033899766615,16,2.3165787133303555
0.0007,16,16,2,5,3,1,1,0.1,0,B0006,0.0044244029559195,0.0027645194204524,0.0236661843314784,0.0520433531984403,30,2.045446038246155
0.0007,16,16,2,5,3,1,1,0.1,0,B0007,0.0034789167111739,0.0011254347249632,0.0145531884084867,0.0332303353245596,55,1.6563798563820975
0.0007,16,16,2,5,3,1,1,0.1,0,B0018,0.0301946555871678,0.0049145849964891,0.0680707395379223,0.0667174823125561,3,1.9253314576059015
0.0007,16,16,2,5,4,1,1,0.1,0,B0005,0.0028783787385604,0.0023378134792437,0.0168137160744093,0.0480577085046726,40,2.0489350345399644
0.0007,16,16,2,5,4,1,1,0.1,0,B0006,0.0030121368366632,0.0025534568412695,0.0326916228358675,0.049462941772388,14,2.038057498633861
0.0007,16,16,2,5,4,1,1,0.1,0,B0007,0.003403063203829,0.0009768348114448,0.0107575357210215,0.0310686715185538,44,1.8074194928433032
0.0007,16,16,2,5,4,1,1,0.1,0,B0018,0.002243644652797,0.0037409005162771,0.0215456305487845,0.0607822272543471,33,2.1289353255765984
0.0007,16,16,3,2,1,1,1,0.1,0,B0005,0.0033221390719215,0.0022966259525024,0.0122089005001283,0.0477673552787109,142,0.4388172241548697
0.0007,16,16,3,2,1,1,1,0.1,0,B0006,0.0035284066636284,0.0033837285785314,0.0244659558516592,0.057653016262572,53,0.4497628211975097
