lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0001,4,16,3,3,2,1,1,0.1,0,B0005,0.0035012847733813,0.0023216287553233,0.01474093330976,0.0479572644470841,51,2.9653408739826466
0.0001,4,16,3,3,2,1,1,0.1,0,B0006,0.0029190944343247,0.0047666376873773,0.0347214971500342,0.0681621554655527,62,2.944862218839781
0.0001,4,16,3,3,2,1,1,0.1,0,B0007,0.0031726893135378,0.0010310055668014,0.0104999242067147,0.0319371369882955,109,2.641057959142721
0.0001,4,16,3,3,2,1,1,0.1,0,B0018,0.0028803518566491,0.0044149050199415,0.0403023474926102,0.0652110197117312,21,3.025325076680788
0.0001,8,16,3,3,2,1,1,0.1,0,B0005,0.0032275781452814,0.0027194519300662,0.0126740310536523,0.0519941227597857,67,1.42602862455906
0.0001,8,16,3,3,2,1,1,0.1,0,B0006,0.0035863292327713,0.0029844313588303,0.037988922465049,0.0532927340677596,39,1.4927312175879317
0.0001,8,16,3,3,2,1,1,0.1,0,B0007,0.0022658196709623,0.0007859030302872,0.0118429509504734,0.0277826829225361,192,1.335457807730052
0.0001,8,16,3,3,2,1,1,0.1,0,B0018,0.0049103416373125,0.004295800603524,0.0316003412609885,0.0647760952231518,19,1.8608749327452287
0.0001,16,16,3,3,2,1,1,0.1,0,B0005,0.0028388144204481,0.0028347785534736,0.022078231605937,0.0527828923071694,75,1.9063927497863769
0.0001,16,16,3,3,2,1,1,0.1,0,B0006,0.0025473702169785,0.005247131048236,0.0404369804519278,0.0712994824811251,37,1.9844997669088429
0.0001,16,16,3,3,2,1,1,0.1,0,B0007,0.0034226572089311,0.000932626476424,0.0176117012187182,0.0300268093441504,165,0.7981230380923249
0.0001,16,16,3,3,2,1,1,0.1,0,B0018,0.003548828930513,0.0034852164341524,0.0312827706494735,0.0582009904911952,25,0.8479724025726318
0.0001,32,16,3,3,2,1,1,0.1,0,B0005,0.0027171431627886,0.0024667596953804,0.021891511153769,0.0491816622909462,135,0.4014094120747334
0.0001,32,16,3,3,2,1,1,0.1,0,B0006,0.0031053994528271,0.0060765658660481,0.0869525639305109,0.0729416977402558,36,0.3852092083110365
0.0001,32,16,3,3,2,1,1,0.1,0,B0007,0.0049566267213473,0.0018078669178066,0.0682280749184801,0.0366382300695357,30,0.3382432639598846
0.0001,32,16,3,3,2,1,1,0.1,0,B0018,0.0045130257106696,0.004189175243179,0.039758574721326,0.0634909506532357,43,0.413463548947406
0.0001,64,16,3,3,2,1,1,0.1,0,B0005,0.0039180314633995,0.0025269875914091,0.0279365431309493,0.0494867909968908,174,0.2146520997796739
0.0001,64,16,3,3,2,1,1,0.1,0,B0006,0.0041470288221413,0.0061195676680654,0.1215655447801069,0.0681303863695424,47,0.21452864666575
0.0001,64,16,3,3,2,1,1,0.1,0,B0007,0.0037644086405634,0.0009555773964772,0.0246647859039225,0.0299122415282401,179,0.19118947337288
0.0001,64,16,3,3,2,1,1,0.1,0,B0018,0.0039706622871259,0.0038116808282211,0.0588681946271519,0.0588653908762627,71,0.2158199046268936
0.0002,4,16,3,3,2,1,1,0.1,0,B0005,0.0042600513525696,0.0028984205169503,0.013682246906821,0.0536628369728442,24,2.894028109473151
0.0002,4,16,3,3,2,1,1,0.1,0,B0006,0.0037783220927955,0.0030759506189497,0.0387097507329409,0.0540934944525562,6,2.983567420925413
0.0002,4,16,3,3,2,1,1,0.1,0,B0007,0.0017106427182322,0.0010767174981801,0.0100369524604413,0.0326595078044789,78,2.703060384839773
0.0002,4,16,3,3,2,1,1,0.1,0,B0018,0.0066313838025063,0.0039840470431261,0.0405191673257411,0.0618050704363846,5,2.966853748668324
0.0002,8,16,3,3,2,1,1,0.1,0,B0005,0.0040230829007469,0.0025695082159862,0.0170592522942483,0.0504024442066089,23,1.4258978530152204
0.0002,8,16,3,3,2,1,1,0.1,0,B0006,0.004115299654713,0.0038283349325259,0.0511824872644464,0.0597190945874149,11,1.4712865469885654
0.0002,8,16,3,3,2,1,1,0.1,0,B0007,0.0023813507497026,0.0006945465245639,0.0195512378317214,0.0256187710617954,114,1.308688147765834
0.0002,8,16,3,3,2,1,1,0.1,0,B0018,0.0047857095409805,0.0033749959839042,0.0383803241773564,0.056812772564062,7,1.50992649061638
0.0002,16,16,3,3,2,1,1,0.1,0,B0005,0.0027356646467177,0.0027141904179838,0.0134957849497992,0.0519227970569656,74,0.7329088218750492
0.0002,16,16,3,3,2,1,1,0.1,0,B0006,0.0036866402211175,0.0040014430220859,0.0315672771619763,0.0624643391475184,40,0.7609626001781887
0.0002,16,16,3,3,2,1,1,0.1,0,B0007,0.0038684950300699,0.0010571503778919,0.0140625330696735,0.0322083046247475,163,0.6732778549194336
0.0002,16,16,3,3,2,1,1,0.1,0,B0018,0.0041136438471174,0.0038998597301542,0.0357685580873942,0.0614159652326909,13,0.7836640070355128
0.0002,32,16,3,3,2,1,1,0.1,0,B0005,0.0039385475683957,0.0022103769624663,0.0175408472639739,0.046686281656913,77,0.3929933713177058
0.0002,32,16,3,3,2,1,1,0.1,0,B0006,0.0058414377907121,0.0034333933920909,0.0544984769082812,0.0560034373889631,14,0.384675458073616
0.0002,32,16,3,3,2,1,1,0.1,0,B0007,0.0033832948085748,0.0009577768447343,0.0179931405421036,0.030420413212306,188,0.3444911732393153
0.0002,32,16,3,3,2,1,1,0.1,0,B0018,0.0030643145437352,0.0031929894078833,0.0288236381424509,0.0557665601002112,34,0.4175411122185843
0.0002,64,16,3,3,2,1,1,0.1,0,B0005,0.0040012295745934,0.0027182736230315,0.0242188619266892,0.0515714869396853,105,0.2157676558340749
0.0002,64,16,3,3,2,1,1,0.1,0,B0006,0.0031535962286094,0.0045731624122709,0.0418972196666726,0.0663145884246565,66,0.2190015131029589
0.0002,64,16,3,3,2,1,1,0.1,0,B0007,0.004446920659393,0.0007933950231138,0.0225000491215207,0.0272538030506569,104,0.1916753827751457
0.0002,64,16,3,3,2,1,1,0.1,0,B0018,0.0044099782050276,0.0032769315876066,0.0467516510492282,0.0553024402718703,56,0.2174404162280964
0.0003,4,16,3,3,2,1,1,0.1,0,B0005,0.0008121126111513,0.0016744627127991,0.017576341685511,0.0405409661231512,98,2.8877173259451583
0.0003,4,16,3,3,2,1,1,0.1,0,B0006,0.0029456304809448,0.0039456078548028,0.0256198195365386,0.0622894083372288,30,2.9249283194541933
0.0003,4,16,3,3,2,1,1,0.1,0,B0007,0.0029408742274325,0.0009518069893697,0.0125599163544363,0.0305946374019025,100,2.607930464744568
0.0003,4,16,3,3,2,1,1,0.1,0,B0018,0.0040032504115965,0.0037093269125935,0.0237953440461161,0.0604376127681599,15,2.9852186092963584
0.0003,8,16,3,3,2,1,1,0.1,0,B0005,0.0034939366145763,0.0026107230276985,0.0130386492943474,0.0509286004518102,23,1.4212673102339652
0.0003,8,16,3,3,2,1,1,0.1,0,B0006,0.003528652979375,0.0029834480616652,0.0333984995521682,0.0535901306145699,16,1.4729987346764766
0.0003,8,16,3,3,2,1,1,0.1,0,B0007,0.0020241399421744,0.0010301565883932,0.0133677457256192,0.0318164568529618,73,1.3081746624737252
0.0003,8,16,3,3,2,1,1,0.1,0,B0018,0.0031708182210827,0.0040835999111136,0.0265618741976456,0.0633486112805194,11,1.5196531170704326
0.0003,16,16,3,3,2,1,1,0.1,0,B0005,0.0024105901164667,0.0023235568099023,0.0152172614801645,0.0479624883744641,75,0.7465753707885742
0.0003,16,16,3,3,2,1,1,0.1,0,B0006,0.0043275003078054,0.0041142202583917,0.0334850862304191,0.0632621156596237,39,0.763099723987365
0.0003,16,16,3,3,2,1,1,0.1,0,B0007,0.0019211355376885,0.0006788143302401,0.0155833099556342,0.0255837914003544,170,0.6816911762410944
0.0003,16,16,3,3,2,1,1,0.1,0,B0018,0.0044298326196756,0.0048299719928763,0.0506769348344427,0.0676251196297123,6,0.7858084440231323
0.0003,32,16,3,3,2,1,1,0.1,0,B0005,0.003556762906638,0.0021325234956748,0.0132358598630763,0.0459891804821285,73,0.3920494075713119
0.0003,32,16,3,3,2,1,1,0.1,0,B0006,0.0040359427644447,0.0044864173978567,0.0403653504153909,0.0657531844982758,25,0.3922937488555908
0.0003,32,16,3,3,2,1,1,0.1,0,B0007,0.0033412233201993,0.0008712914641364,0.0223026833337393,0.0286627022269248,94,0.3406178421444363
0.0003,32,16,3,3,2,1,1,0.1,0,B0018,0.0046919546051261,0.0035820829604441,0.0284785687200371,0.0591690805422271,39,0.4265278617987472
0.0003,64,16,3,3,2,1,1,0.1,0,B0005,0.0035147930805881,0.0023401656144415,0.0130219277155442,0.0481996749006422,174,0.2231992004173142
0.0003,64,16,3,3,2,1,1,0.1,0,B0006,0.0154626000051697,0.0063570926431566,0.141965548726672,0.0658913558643976,21,0.2256566772998219
0.0003,64,16,3,3,2,1,1,0.1,0,B0007,0.0038796375971287,0.0007014950582136,0.0177570880432152,0.0258836560044115,138,0.1942812686270855
0.0003,64,16,3,3,2,1,1,0.1,0,B0018,0.0047544096208487,0.0033491570502519,0.0716287679243398,0.0532549445177615,18,0.2192143026520224
0.0004,4,16,3,3,2,1,1,0.1,0,B0005,0.0004688601008482,0.0016867883054406,0.0141246138158037,0.0408269251827379,217,2.8637073682935053
0.0004,4,16,3,3,2,1,1,0.1,0,B0006,0.0027559359419514,0.0028316487929866,0.0265006212987662,0.0525492198330934,81,2.928584291734768
0.0004,4,16,3,3,2,1,1,0.1,0,B0007,0.0027805596399856,0.0006844810464396,0.0118652175788265,0.0258921360009959,44,2.619717856670948
0.0004,4,16,3,3,2,1,1,0.1,0,B0018,0.0024915082707838,0.0024194505663001,0.0284188411365644,0.0483599785817269,13,2.987224204199655
0.0004,8,16,3,3,2,1,1,0.1,0,B0005,0.0012179882948502,0.002070031733118,0.018946367479697,0.0451013886590749,68,1.4146881366180162
0.0004,8,16,3,3,2,1,1,0.1,0,B0006,0.0030750480296393,0.00233105517691,0.0208420868336336,0.0478290280067216,38,1.475721987811002
0.0004,8,16,3,3,2,1,1,0.1,0,B0007,0.0023940723258419,0.0008311795168801,0.0167352001848375,0.0283403038367971,58,1.3186527336085283
0.0004,8,16,3,3,2,1,1,0.1,0,B0018,0.003002932795789,0.0052347832031294,0.0464006892868171,0.0708482942754289,8,1.5348095359473393
0.0004,16,16,3,3,2,1,1,0.1,0,B0005,0.0030704465351023,0.0022914123276547,0.0135961477122734,0.0476752219346206,41,0.7371788260700939
0.0004,16,16,3,3,2,1,1,0.1,0,B0006,0.0027861476066225,0.003954862554868,0.0341802239021149,0.061951867140816,39,0.7953229459483971
0.0004,16,16,3,3,2,1,1,0.1,0,B0007,0.0022531645550366,0.0008305981900775,0.0122605992895756,0.0285581153273832,119,0.6913304611070622
0.0004,16,16,3,3,2,1,1,0.1,0,B0018,0.0039323732540335,0.0042384769476484,0.0372171146401694,0.0640309737547885,12,0.8001350587414157
0.0004,32,16,3,3,2,1,1,0.1,0,B0005,0.0010848689998965,0.001778238096449,0.0136971822875983,0.0419461177268925,177,0.396784516683234
0.0004,32,16,3,3,2,1,1,0.1,0,B0006,0.0025937125002118,0.0041015800864746,0.0326403836850765,0.0632063334392932,44,0.4054857695356328
0.0004,32,16,3,3,2,1,1,0.1,0,B0007,0.0022140318501947,0.0008518357964931,0.0154262743133103,0.0287756633910113,113,0.3490964269345523
0.0004,32,16,3,3,2,1,1,0.1,0,B0018,0.0038199531457697,0.0034419630343715,0.0286020682668638,0.0579668456426259,60,0.4233043193817138
0.0004,64,16,3,3,2,1,1,0.1,0,B0005,0.0037384172125409,0.0025501023483229,0.0226355296323323,0.0499886553728377,63,0.2294385412098032
0.0004,64,16,3,3,2,1,1,0.1,0,B0006,0.0033020179253071,0.0030101705342531,0.0245779574181848,0.0543117193300651,92,0.2152735935130589
0.0004,64,16,3,3,2,1,1,0.1,0,B0007,0.0019132263027131,0.0007290612362946,0.0264927999319029,0.0256685485645006,146,0.1919403295127713
0.0004,64,16,3,3,2,1,1,0.1,0,B0018,0.0135557845545311,0.0026932086329907,0.0708269399791645,0.0468141342542982,13,0.2137108151874845
0.0005,4,16,3,3,2,1,1,0.1,0,B0005,0.0008264676516551,0.0008577767606376,0.0130796768038942,0.0289942918718191,98,2.8902123312692383
0.0005,4,16,3,3,2,1,1,0.1,0,B0006,0.0029252687766762,0.0025045181549406,0.0260034181949232,0.049364971486103,30,2.944302028417588
0.0005,4,16,3,3,2,1,1,0.1,0,B0007,0.0037051639285184,0.0009613548691528,0.0274755076876729,0.0297634761567879,50,2.703700313568115
0.0005,4,16,3,3,2,1,1,0.1,0,B0018,0.0017280596459815,0.0054414356241717,0.0207127958417823,0.0734747138619301,29,3.067237018029901
0.0005,8,16,3,3,2,1,1,0.1,0,B0005,0.0014512376943546,0.0009927387467801,0.0141812227037483,0.0311869851801955,60,1.424090901288119
0.0005,8,16,3,3,2,1,1,0.1,0,B0006,0.0037090890623932,0.003411727351704,0.035992471406008,0.0572903268446999,12,1.4828688906085106
0.0005,8,16,3,3,2,1,1,0.1,0,B0007,0.0018263532959584,0.0011335988689863,0.0122459213514825,0.0334455173118762,76,1.3231703894478934
0.0005,8,16,3,3,2,1,1,0.1,0,B0018,0.0082272452767938,0.0026323078755839,0.0414816506659178,0.049600757271844,4,1.5290008474279333
0.0005,16,16,3,3,2,1,1,0.1,0,B0005,0.0034003730259081,0.002418137546296,0.0158416954806964,0.0489187247306969,38,0.7468529153953899
0.0005,16,16,3,3,2,1,1,0.1,0,B0006,0.003682401496917,0.0037024469444683,0.0345713135937814,0.0598575752059432,35,0.7598774433135986
0.0005,16,16,3,3,2,1,1,0.1,0,B0007,0.0019429836635633,0.000773102203675,0.0168249673504437,0.0272909190296283,75,0.678273567199707
0.0005,16,16,3,3,2,1,1,0.1,0,B0018,0.0050390707936299,0.0039496793663905,0.0406996413815902,0.0615144963901109,6,0.7948627684797559
0.0005,32,16,3,3,2,1,1,0.1,0,B0005,0.0019125475717539,0.0022061233958083,0.0128949547027109,0.0467920446497896,75,0.3977549152374267
0.0005,32,16,3,3,2,1,1,0.1,0,B0006,0.0031756641004573,0.0050740358419716,0.0445766625936091,0.0698235485071412,18,0.3912538325085359
0.0005,32,16,3,3,2,1,1,0.1,0,B0007,0.0028704370294387,0.0009053940259036,0.015007435027322,0.0297131572757546,142,0.348724743972222
0.0005,32,16,3,3,2,1,1,0.1,0,B0018,0.0059465367424612,0.002732547892568,0.0296347087292707,0.051426902193867,33,0.4233343342700637
0.0005,64,16,3,3,2,1,1,0.1,0,B0005,0.0039002514677122,0.0022833247421658,0.0150503755027038,0.0475465384463777,82,0.2206968141324592
0.0005,64,16,3,3,2,1,1,0.1,0,B0006,0.0069878189824521,0.0035400637425482,0.0358843257439314,0.0584062945381426,24,0.2209911217560639
0.0005,64,16,3,3,2,1,1,0.1,0,B0007,0.0026194150093942,0.0008227109501603,0.017636852129905,0.028135477365936,118,0.1939516564210256
0.0005,64,16,3,3,2,1,1,0.1,0,B0018,0.0038515057337159,0.0031634279876016,0.0284066748666975,0.0555223736855828,23,0.2185029069038286
0.0006,4,16,3,3,2,1,1,0.1,0,B0005,0.0027169167302284,0.0017214600499885,0.0252062279241636,0.0407176208169136,15,2.811045122146606
0.0006,4,16,3,3,2,1,1,0.1,0,B0006,0.0031657304691264,0.0024009085257906,0.0215063749630123,0.048524799070495,15,2.943456767155574
0.0006,4,16,3,3,2,1,1,0.1,0,B0007,0.004016673828826,0.0010530694225005,0.0163603224045282,0.0320359704415455,24,2.620294535482252
0.0006,4,16,3,3,2,1,1,0.1,0,B0018,0.0022303646916309,0.0027905905035801,0.028218667642404,0.0520668912792152,35,3.055652682921466
0.0006,8,16,3,3,2,1,1,0.1,0,B0005,0.0007458080778256,0.0008924459829618,0.0107375971551022,0.0296802354666346,60,1.4693272417241876
0.0006,8,16,3,3,2,1,1,0.1,0,B0006,0.0032613240547889,0.0036942171706565,0.0257762349611655,0.0602310194789707,28,1.4712937061603253
0.0006,8,16,3,3,2,1,1,0.1,0,B0007,0.0011976715464293,0.000950856339554,0.0102960604810725,0.030663585134738,130,1.3265483922428556
0.0006,8,16,3,3,2,1,1,0.1,0,B0018,0.0176219567087375,0.0051268135430291,0.03587530773575,0.0706973113158044,4,1.6326027004807084
0.0006,16,16,3,3,2,1,1,0.1,0,B0005,0.0014796920918992,0.0021150825694868,0.0124550904307419,0.0458210607511175,68,0.7390871472277883
0.0006,16,16,3,3,2,1,1,0.1,0,B0006,0.0031113781680522,0.0039380475936923,0.024498094096935,0.0622738469385997,46,0.757354736328125
0.0006,16,16,3,3,2,1,1,0.1,0,B0007,0.0037803404912766,0.0009289570552937,0.011004158177864,0.0302794968293395,81,0.6923626215403317
0.0006,16,16,3,3,2,1,1,0.1,0,B0018,0.0045780597619064,0.0029137158126104,0.0364878405043007,0.052731200865156,16,0.8106272545727816
0.0006,32,16,3,3,2,1,1,0.1,0,B0005,0.0040143760005858,0.0024183792120311,0.0158033089260259,0.0489224359052471,50,0.4045816397666931
0.0006,32,16,3,3,2,1,1,0.1,0,B0006,0.0034805192209949,0.0033726880792528,0.0516581084837678,0.0557299922034507,12,0.3920463708139235
0.0006,32,16,3,3,2,1,1,0.1,0,B0007,0.0020546671779205,0.0007490070944186,0.0106553861600323,0.0271597748520734,110,0.3514980345964432
0.0006,32,16,3,3,2,1,1,0.1,0,B0018,0.0119382229750044,0.0029846614149088,0.0533671357481235,0.0519601421738164,10,0.4219453732172648
0.0006,64,16,3,3,2,1,1,0.1,0,B0005,0.0024991859099827,0.0023257883658516,0.0141216290390289,0.048019228187295,120,0.2198339434231029
0.0006,64,16,3,3,2,1,1,0.1,0,B0006,0.0083283570129424,0.0058632304426282,0.1203198080815802,0.0664495666959664,9,0.2149641958333678
0.0006,64,16,3,3,2,1,1,0.1,0,B0007,0.0033631484489887,0.0010005423488716,0.01312494076132,0.0313578686686796,123,0.1933020057016714
0.0006,64,16,3,3,2,1,1,0.1,0,B0018,0.0046131576333815,0.0034639391815289,0.0309324411392471,0.058036692370862,23,0.2214500904083252
0.0007,4,16,3,3,2,1,1,0.1,0,B0005,0.0035752614215797,0.0019235263443826,0.0150932372734145,0.0435975428990858,17,2.8567733444384675
0.0007,4,16,3,3,2,1,1,0.1,0,B0006,0.0034370836581856,0.002344242911325,0.0232945095096501,0.0478537302213997,13,2.925773098355248
0.0007,4,16,3,3,2,1,1,0.1,0,B0007,0.0034831291438119,0.0008008493689789,0.0193922102938427,0.027626863448692,28,2.65966142140902
0.0007,4,16,3,3,2,1,1,0.1,0,B0018,0.0014533616474151,0.003602141479773,0.0324069376392291,0.0591364567081062,47,3.103844409136428
