lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,4,3,3,2,1,1,0.1,0,B0005,0.0010553241064328,0.0017520349896845,0.014106492891445,0.041618934078756,155,0.7664891010377465
0.0007,16,4,3,3,2,1,1,0.1,0,B0006,0.0033123488855463,0.0033827481480936,0.040628528217288,0.0567246011863313,39,1.1834545242652466
0.0007,16,4,3,3,2,1,1,0.1,0,B0007,0.0035626239259727,0.0006838910416263,0.0149345174816057,0.0257213348859714,153,1.0460737773350306
0.0007,16,4,3,3,2,1,1,0.1,0,B0018,0.0043854738190851,0.0024412027172123,0.0342325317221134,0.0482080499586946,34,1.042796878587632
0.0007,16,8,3,3,2,1,1,0.1,0,B0005,0.0015142690750681,0.0019709738813357,0.0102300186381257,0.044277629961159,132,1.09835009260492
0.0007,16,8,3,3,2,1,1,0.1,0,B0006,0.0050382443216883,0.0031919447549929,0.0394282304682357,0.0551043214018161,30,1.4186920315027236
0.0007,16,8,3,3,2,1,1,0.1,0,B0007,0.0022553327144123,0.0009588734479621,0.0161330497828304,0.0305425264901065,92,1.1559643140980895
0.0007,16,8,3,3,2,1,1,0.1,0,B0018,0.0010506075290639,0.0043532967586846,0.018117321177826,0.06573030586761,70,1.1276300251483915
0.0007,16,16,3,3,2,1,1,0.1,0,B0005,0.0012512556221779,0.0012246352686945,0.0151090357819584,0.0346670872766438,59,1.063744829335344
0.0007,16,16,3,3,2,1,1,0.1,0,B0006,0.0040599943233907,0.0029887011526928,0.0240150801363712,0.0541389764349969,56,1.0842437069371065
0.0007,16,16,3,3,2,1,1,0.1,0,B0007,0.0013235829424552,0.0008582434282288,0.0147203250330151,0.0289236003263961,89,0.9671672625507384
0.0007,16,16,3,3,2,1,1,0.1,0,B0018,0.0050815385766327,0.0022520489049687,0.0374211826120211,0.0459566583548548,7,1.1286294669435737
0.0007,16,32,3,3,2,1,1,0.1,0,B0005,0.0027391680383256,0.0019053615001861,0.0117100488821135,0.0434930909958619,32,1.055093657679674
0.0007,16,32,3,3,2,1,1,0.1,0,B0006,0.0038013515983369,0.0022365203670536,0.0258884635800986,0.0465778818405007,54,1.0847470783270323
0.0007,16,32,3,3,2,1,1,0.1,0,B0007,0.0031991980633594,0.0010027523261669,0.0122390463143506,0.0314288544326497,57,0.9485669693100118
0.0007,16,32,3,3,2,1,1,0.1,0,B0018,0.0028518054877286,0.0037586100515909,0.0258619896836623,0.0607595740630758,12,1.1323995167209255
0.0007,16,64,3,3,2,1,1,0.1,0,B0005,0.0030272195026988,0.0025635398446216,0.0133656670912338,0.0504546898148467,18,1.0769860253614538
0.0007,16,64,3,3,2,1,1,0.1,0,B0006,0.0025562676548195,0.0026110692803437,0.0295637372945382,0.0502361206636453,35,1.112716787001666
0.0007,16,64,3,3,2,1,1,0.1,0,B0007,0.0040496791480109,0.0010151016293093,0.0120683470651345,0.0316312684100121,56,0.9833399327296132
0.0007,16,64,3,3,2,1,1,0.1,0,B0018,0.0011454415001461,0.0041652571817394,0.0247932724045182,0.0640608030441911,83,1.162359243048761
