lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_35,0.014154649277528127,0.006053009838797152,0.02557961241513053,0.07737944277898426,24,1.9040507754764042
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_36,0.03760303215434154,0.006957408040761948,0.1197678926362708,0.0743167079381797,5,1.8248182426799426
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_37,0.016561572905629873,0.0017607973131816834,0.05620277324066576,0.03801213101208784,6,1.880522676876613
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_38,0.01631760430921401,0.0017682788505529363,0.06744592729587127,0.03624063450257808,5,1.868277861855247
0.0008,128,16,7,4,2,1,2,0.1,0,CS2_35,0.01889017627884944,0.0055481362855061885,0.06381453259646755,0.0717001178402436,13,1.8943153562999906
0.0008,128,16,7,4,2,1,2,0.1,0,CS2_36,0.009470655722543598,0.020678506582044065,0.0817076724291211,0.14145986192071766,7,1.7984850281163265
0.0008,128,16,7,4,2,1,2,0.1,0,CS2_37,0.014705137150096042,0.0033433335386992744,0.042197618588224475,0.056260728758012864,12,1.8605255196171422
0.0008,128,16,7,4,2,1,2,0.1,0,CS2_38,0.014837127511522599,0.0014066476045021166,0.030377922067981455,0.036254182735474164,13,1.8748031987084284
0.0008,128,16,7,4,2,1,4,0.1,0,CS2_35,0.015456291660666466,0.008002997213043272,0.02836285049889326,0.08900871940537661,25,1.878635066350301
0.0008,128,16,7,4,2,1,4,0.1,0,CS2_36,0.03510319022461772,0.009880292229354382,0.08752441389623879,0.09546852887285272,5,1.7685939528725363
0.0008,128,16,7,4,2,1,4,0.1,0,CS2_37,0.012365043562437807,0.0024274671741295606,0.037773514999108304,0.04779940745855303,14,1.8339545987546444
0.0008,128,16,7,4,2,1,4,0.1,0,CS2_38,0.014583193896604436,0.0018119304392409201,0.03135664507472899,0.041395730483460555,13,1.8353861892034138
