lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0001,16,16,7,4,2,1,1,0.1,0,CS2_35,0.01609446228568368,0.006359504807167812,0.057075556772185884,0.0776771708863035,4,14.497761227466443
0.0001,16,16,7,4,2,1,1,0.1,0,CS2_36,0.09281435944139957,0.05138186005682781,0.5495580223985164,0.1455350738639296,1,14.226549653445973
0.0001,16,16,7,4,2,1,1,0.1,0,CS2_37,0.020536937336954806,0.003507091953396434,0.10287085665818438,0.04948586293819592,3,13.998590752763569
0.0001,16,16,7,4,2,1,1,0.1,0,CS2_38,0.012933375849827842,0.0023767431786075387,0.05388259391839601,0.04567723487307535,6,14.28849048273904
0.0001,32,16,7,4,2,1,1,0.1,0,CS2_35,0.01764767758319514,0.007318785218031783,0.14332141337364745,0.07255813074241188,5,9.236028731953015
0.0001,32,16,7,4,2,1,1,0.1,0,CS2_36,0.0026710829348303377,0.045800194951395194,0.044915703940493025,0.21353794226461154,14,9.307427499443293
0.0001,32,16,7,4,2,1,1,0.1,0,CS2_37,0.013020047512664288,0.002519237329362936,0.05254354927095065,0.047361956266226406,9,9.309797117265605
0.0001,32,16,7,4,2,1,1,0.1,0,CS2_38,0.020052613321480887,0.004383129004219716,0.17976530184989348,0.033934827846763126,5,9.065701458670876
0.0001,64,16,7,4,2,1,1,0.1,0,CS2_35,0.014121173688306891,0.005467209592461586,0.07965983314899448,0.06951719705276105,12,3.46267060695156
0.0001,64,16,7,4,2,1,1,0.1,0,CS2_36,0.0023720632462451855,0.04311939055332914,0.04310402257621646,0.20720423489717182,27,3.5187975586234748
0.0001,64,16,7,4,2,1,1,0.1,0,CS2_37,0.03560802761327337,0.01805241829292341,0.3934157720327491,0.05074269418709064,6,3.230338318007333
0.0001,64,16,7,4,2,1,1,0.1,0,CS2_38,0.01491771614248002,0.002800707303156907,0.08167660661465893,0.046190913019217524,13,3.3550691074795194
0.0001,128,16,7,4,2,1,1,0.1,0,CS2_35,0.01772598745301366,0.007322916388511657,0.16148867296424332,0.06866627296831163,18,1.6491972733946407
0.0001,128,16,7,4,2,1,1,0.1,0,CS2_36,0.016725108275810877,0.05690228007733822,0.38567450690154803,0.20500682289511166,12,1.6214856024711364
0.0001,128,16,7,4,2,1,1,0.1,0,CS2_37,0.015081657961543118,0.002192379285891851,0.0838134890540677,0.038599341565917225,25,1.6564994525909424
0.0001,128,16,7,4,2,1,1,0.1,0,CS2_38,0.027900106007499353,0.013355374957124392,0.3422368877658667,0.04053105010971849,13,1.6529993973081074
0.0001,256,16,7,4,2,1,1,0.1,0,CS2_35,0.023956282762810588,0.0130963617314895,0.30059369750372245,0.06372365055599696,25,1.0197091484069825
0.0001,256,16,7,4,2,1,1,0.1,0,CS2_36,0.04811836499720812,0.08461718261241913,0.6566381782336379,0.2037150314007465,10,0.9414566159248352
0.0001,256,16,7,4,2,1,1,0.1,0,CS2_37,0.015103596395679883,0.0037827902706339955,0.10862242408150237,0.05101869564304537,44,0.9155995795067321
0.0001,256,16,7,4,2,1,1,0.1,0,CS2_38,0.013748713902064733,0.003806831936041514,0.07206818742039849,0.057336285494645686,52,0.92273341440687
0.0002,16,16,7,4,2,1,1,0.1,0,CS2_35,0.014235039290032489,0.006569350223258339,0.06719465869092739,0.0782166095619724,4,19.73258572154575
0.0002,16,16,7,4,2,1,1,0.1,0,CS2_36,0.0008519540169800166,0.03564211084700093,0.022456754329937267,0.18865757456333526,30,28.31992587149143
0.0002,16,16,7,4,2,1,1,0.1,0,CS2_37,0.019810081541503745,0.002670418037734812,0.05921303339038948,0.04816429897724156,2,27.481880380557133
0.0002,16,16,7,4,2,1,1,0.1,0,CS2_38,0.012132162799320693,0.003285658058472151,0.04806596334313188,0.055268656921772415,6,27.322082493986404
0.0002,32,16,7,4,2,1,1,0.1,0,CS2_35,0.014540166531795668,0.006853942707254502,0.04910763855696974,0.0813190431831863,5,14.20811392177235
0.0002,32,16,7,4,2,1,1,0.1,0,CS2_36,0.0007584061192270989,0.04053486945728461,0.03312364932254343,0.20106007069756743,33,14.301558615213418
0.0002,32,16,7,4,2,1,1,0.1,0,CS2_37,0.0038916638327969443,0.00264356736235121,0.03065246113032672,0.05049366330359716,36,13.87340928232947
0.0002,32,16,7,4,2,1,1,0.1,0,CS2_38,0.01598791994224742,0.004576174894199622,0.05714344744643246,0.06518924373963703,5,13.827919314124367
0.0002,64,16,7,4,2,1,1,0.1,0,CS2_35,0.014538614850105911,0.004915581503883004,0.05582527784326252,0.06785230524780217,7,7.222196411668208
0.0002,64,16,7,4,2,1,1,0.1,0,CS2_36,0.0017112020286731422,0.04188996221637353,0.040301301170781414,0.2042732064593819,26,7.17024869981565
0.0002,64,16,7,4,2,1,1,0.1,0,CS2_37,0.0033095761987001256,0.0028275461796014993,0.03442854214149069,0.0520481863749314,74,6.988060420559298
0.0002,64,16,7,4,2,1,1,0.1,0,CS2_38,0.01382856905736305,0.002492496696173806,0.0512435640903266,0.04722188474630691,9,6.969355906470347
0.0002,128,16,7,4,2,1,1,0.1,0,CS2_35,0.0161759660889705,0.00540250837802887,0.05674380736761453,0.07127778424577252,13,3.7498777177598743
0.0002,128,16,7,4,2,1,1,0.1,0,CS2_36,0.08364406277736028,0.060324777849018574,0.64919393723832,0.13483137707038081,3,3.59085672756411
0.0002,128,16,7,4,2,1,1,0.1,0,CS2_37,0.014440646727702447,0.001974566674713666,0.0625108630889997,0.03979705807738659,14,3.53012340888381
