lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0008,128,8,7,4,2,1,1,0.1,0,CS2_35,0.011608801006029,0.0056988299125805,0.0301586870042008,0.0748857480560983,48,1.8647490545194976
0.0008,128,8,7,4,2,1,1,0.1,0,CS2_36,0.0341081167260805,0.0386175564490258,0.299207287885084,0.172235465139775,4,2.613200275986283
0.0008,128,8,7,4,2,1,1,0.1,0,CS2_37,0.0136697392777672,0.0025225704011972,0.0357446041423658,0.0489367223131671,20,3.70257887499673
0.0008,128,8,7,4,2,1,1,0.1,0,CS2_38,0.0135145782093916,0.0040118763475523,0.0521954184096173,0.0611509624796001,12,3.717888136063853
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_35,0.0141546492775281,0.0060530098387971,0.0255796124151305,0.0773794427789842,24,3.875082483162751
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_36,0.0376030321543415,0.0069574080407619,0.1197678926362708,0.0743167079381797,5,3.7014110348441385
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_37,0.0165615729056298,0.0017607973131816,0.0562027732406657,0.0380121310120878,6,3.77325170806476
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_38,0.016317604309214,0.0017682788505529,0.0674459272958712,0.036240634502578,5,3.7921878121115946
0.0008,128,32,7,4,2,1,1,0.1,0,CS2_35,0.0222864829779913,0.008009247528389,0.0382613096682658,0.0886727384229038,7,3.708727811512194
0.0008,128,32,7,4,2,1,1,0.1,0,CS2_36,0.0320155180990695,0.0253825134132057,0.0579888524451828,0.1582600467616632,6,3.640230127743312
0.0008,128,32,7,4,2,1,1,0.1,0,CS2_37,0.0129768783891839,0.0023694317011783,0.039870456182711,0.0470155972545083,11,3.659819892195405
0.0008,128,32,7,4,2,1,1,0.1,0,CS2_38,0.0140341147115187,0.0033753231012572,0.0505538350683202,0.0558547582835933,8,3.65956227943815
0.0008,128,64,7,4,2,1,1,0.1,0,CS2_35,0.0148832743987441,0.0055728750419802,0.0225082999494925,0.0743115913389048,14,3.7682322673499584
0.0008,128,64,7,4,2,1,1,0.1,0,CS2_36,0.0026453908455247,0.0333696056623011,0.0210077966501292,0.1825526574175569,19,3.684796070707017
0.0008,128,64,7,4,2,1,1,0.1,0,CS2_37,0.0116449023729988,0.0016819272083618,0.0282584343266785,0.0400259079745404,27,3.718661525032737
0.0008,128,64,7,4,2,1,1,0.1,0,CS2_38,0.0127646078222564,0.0014419607493133,0.0256642796142167,0.0370957580034649,58,3.750040548819083
0.0008,128,128,7,4,2,1,1,0.1,0,CS2_35,0.0715559730927149,0.0752950723282992,0.0647718770827473,0.2736339393105133,21,3.543606096590069
0.0008,128,128,7,4,2,1,1,0.1,0,CS2_36,0.0705651819705963,0.0681648198515176,0.0706368169420098,0.260126627149842,13,3.40860871284727
0.0008,128,128,7,4,2,1,1,0.1,0,CS2_37,0.0069827084496085,0.0037806192388719,0.0199069229362877,0.0611636382267996,71,3.4867401221566947
0.0008,128,128,7,4,2,1,1,0.1,0,CS2_38,0.0651054526013987,0.0725215532584115,0.0851225904844145,0.2679495606025283,65,3.49450858157614
