lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0009,4,16,2,2,2,1,1,0.0,0,B0005,0.0022901567842004956,0.0011814001642928165,0.7185805688209066,0.034371502211757006,72,2.5176693201065063
0.0009,4,16,2,2,2,1,1,0.0,0,B0006,0.003912600725523716,0.0027684202777891187,0.7530933553529308,0.05261577974133918,16,2.5945251710487134
0.0009,4,16,2,2,2,1,1,0.0,0,B0007,0.005190697748427435,0.0012850033779039606,0.723833485059422,0.03584694377354868,11,2.2775867024406056
0.0009,4,16,2,2,2,1,1,0.0,0,B0018,0.006081288739949925,0.0029149877723068044,0.6964147596072575,0.05399062670785369,5,2.6873837731101298
0.0009,4,16,2,2,2,1,1,0.05,0,B0005,0.002476032990183207,0.0020056576490138207,0.01402237796840484,0.044674671920015833,29,2.491177365749697
0.0009,4,16,2,2,2,1,1,0.05,0,B0006,0.003966099034039152,0.0030286194882288933,0.03336045629643756,0.05452498048896137,16,2.569828159881361
0.0009,4,16,2,2,2,1,1,0.05,0,B0007,0.002722512096321831,0.0005393022355938707,0.012362328229203863,0.02305777270801341,53,2.2942185749128026
0.0009,4,16,2,2,2,1,1,0.05,0,B0018,0.004160194375206915,0.003756406082954657,0.02482699319638748,0.06103758747220046,5,2.6647124073722144
0.0009,4,16,2,2,2,1,1,0.1,0,B0005,0.002319379424035305,0.0012462391483885377,0.019809606465127104,0.034741863744304866,69,2.508394233318938
0.0009,4,16,2,2,2,1,1,0.1,0,B0006,0.004783145866599096,0.002232802459426845,0.023180975262916362,0.046680474533939795,9,2.557106777773065
0.0009,4,16,2,2,2,1,1,0.1,0,B0007,0.0026763128054072796,0.0006410658641375209,0.020617377100956402,0.024465450032097862,44,2.2728518323695406
0.0009,4,16,2,2,2,1,1,0.1,0,B0018,0.008871130772154736,0.0018357434386243334,0.02402388177663775,0.04216667815773617,3,2.6918351515284122
0.0009,4,16,2,2,2,1,1,0.15000000000000002,0,B0005,0.003597945425653739,0.0017411194322838647,0.02363272003422148,0.0407104853725606,12,2.47551469649038
0.0009,4,16,2,2,2,1,1,0.15000000000000002,0,B0006,0.0031179100482150654,0.002960693025973645,0.023549310914888495,0.053642404117142634,113,2.6484314429979383
0.0009,4,16,2,2,2,1,1,0.15000000000000002,0,B0007,0.004485645941005916,0.0004861961781084813,0.012212642031950867,0.02153657077577781,28,2.3259688310134106
0.0009,4,16,2,2,2,1,1,0.15000000000000002,0,B0018,0.008878210445688095,0.0027755079139578378,0.025045050760849234,0.05178242703369859,3,2.6505452371993155
