lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0009,4,16,2,2,2,1,1,0.1,0.0,B0005,0.002319379424035305,0.0012462391483885377,0.019809606465127104,0.034741863744304866,69,4.572670475775454
0.0009,4,16,2,2,2,1,1,0.1,0.0,B0006,0.004783145866599096,0.002232802459426845,0.023180975262916362,0.046680474533939795,9,2.330469458790149
0.0009,4,16,2,2,2,1,1,0.1,0.0,B0007,0.0026763128054072796,0.0006410658641375209,0.020617377100956402,0.024465450032097862,44,2.1073261702314334
0.0009,4,16,2,2,2,1,1,0.1,0.0,B0018,0.008871130772154736,0.0018357434386243334,0.02402388177663775,0.04216667815773617,3,2.412462238995534
0.0009,4,16,2,2,2,1,1,0.1,0.01,B0005,0.004916252679100669,0.0018469566308730073,0.02462453759474682,0.04226487765810426,41,2.3425990539592703
0.0009,4,16,2,2,2,1,1,0.1,0.01,B0006,0.006311562271358251,0.0028152796567155747,0.02553761047813723,0.052441040274446626,8,2.48738510855313
0.0009,4,16,2,2,2,1,1,0.1,0.01,B0007,0.005928046545806056,0.001176421935892186,0.01784267164388978,0.033831728173099616,26,2.1577216669132837
0.0009,4,16,2,2,2,1,1,0.1,0.01,B0018,0.006697467494928644,0.0025705078542592845,0.036362436197343244,0.04937899516707926,5,2.49368541023948
0.0009,4,16,2,2,2,1,1,0.1,0.02,B0005,0.004123548267759871,0.0014583050632219446,0.015221198069596363,0.03788319649579786,97,2.360836865950604
0.0009,4,16,2,2,2,1,1,0.1,0.02,B0006,0.0077135376104283645,0.002838030747928618,0.02554718193470669,0.0526570497713925,16,2.481946157686638
0.0009,4,16,2,2,2,1,1,0.1,0.02,B0007,0.005675404183016831,0.0016609238328352436,0.014994750668797595,0.04047764294620158,36,2.1551103148349497
0.0009,4,16,2,2,2,1,1,0.1,0.02,B0018,0.003037866702521733,0.003956485228887426,0.021827614665780048,0.06252072277700986,81,2.50352041047948
0.0009,4,16,2,2,2,1,1,0.1,0.03,B0005,0.0037176253276922535,0.0017942679119836871,0.016515216579729732,0.04203561221813945,97,2.37029386702038
0.0009,4,16,2,2,2,1,1,0.1,0.03,B0006,0.008697355913978373,0.004147252255582619,0.02575005407763477,0.06388228026382411,9,2.457871917950905
0.0009,4,16,2,2,2,1,1,0.1,0.03,B0007,0.0058757370053273104,0.0015512666833202321,0.01614369593550886,0.0390538704593672,85,2.1583031053896304
0.0009,4,16,2,2,2,1,1,0.1,0.03,B0018,0.0041151807294881205,0.003702544091322038,0.025103851816619123,0.060328465692775037,81,2.5168178390910607
0.0009,4,16,2,2,2,1,1,0.1,0.04,B0005,0.004557544844318749,0.0011332219245170044,0.024357353180654663,0.032770320107495414,80,2.3382858239687407
0.0009,4,16,2,2,2,1,1,0.1,0.04,B0006,0.005665431987645841,0.004043432560744502,0.02626344253037316,0.06304328469603249,16,2.4574500394589975
0.0009,4,16,2,2,2,1,1,0.1,0.04,B0007,0.006606979713574724,0.0013747006353840238,0.027602029790478582,0.0360348917560068,85,2.1614086504335757
0.0009,4,16,2,2,2,1,1,0.1,0.04,B0018,0.005666039869375004,0.003326064091414169,0.0238025349648489,0.05717873754356622,15,2.506592710201557
0.0009,4,16,2,2,2,1,1,0.1,0.05,B0005,0.005517268588158824,0.0019069143519508153,0.019887961272344525,0.043212975386546254,26,2.330841384435955
0.0009,4,16,2,2,2,1,1,0.1,0.05,B0006,0.006729509289745988,0.0037334923533004862,0.029488530209918925,0.06038654690457409,19,2.4700039884318477
0.0009,4,16,2,2,2,1,1,0.1,0.05,B0007,0.005783900735776924,0.0012517969342441479,0.011214764385492302,0.03520255446196575,112,2.1615187827451727
0.0009,4,16,2,2,2,1,1,0.1,0.05,B0018,0.005267357466784254,0.0036263089187698262,0.04174657118995535,0.05875398900171891,69,2.5160712194042048
0.0009,4,16,2,2,2,1,1,0.1,0.06,B0005,0.004545308818484134,0.0016526964555591153,0.02122700397519672,0.040095359704795164,97,2.369558164051601
0.0009,4,16,2,2,2,1,1,0.1,0.06,B0006,0.004187933906715169,0.0047853445545721724,0.022735462088153607,0.06880155820336716,94,2.496278549234072
