lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0009,4,16,2,2,2,1,1,0.1,0,B0005,0.002319379424035305,0.0012462391483885377,0.019809606465127104,0.034741863744304866,69,2.4909084063618123
0.0009,4,16,2,2,2,1,1,0.1,0,B0006,0.004783145866599096,0.002232802459426845,0.023180975262916362,0.046680474533939795,9,2.6209093473725398
0.0009,4,16,2,2,2,1,1,0.1,0,B0007,0.0026763128054072796,0.0006410658641375209,0.020617377100956402,0.024465450032097862,44,2.2989165884383183
0.0009,4,16,2,2,2,1,1,0.1,0,B0018,0.008871130772154736,0.0018357434386243334,0.02402388177663775,0.04216667815773617,3,2.5652844635945447
0.0009,4,16,2,2,2,1,2,0.1,0,B0005,0.0006311432969640718,0.0017021728090185206,0.01590265980100971,0.04094976590851197,110,2.4509734362363815
0.0009,4,16,2,2,2,1,2,0.1,0,B0006,0.00513684079402971,0.002413320727403819,0.028771242279977148,0.04827569017230945,9,2.4210329217425848
0.0009,4,16,2,2,2,1,2,0.1,0,B0007,0.004196777250601574,0.0006924617916746157,0.014649772511725527,0.02590367176183143,47,2.152111970272261
0.0009,4,16,2,2,2,1,2,0.1,0,B0018,0.006099766734111113,0.0019070766789982805,0.0261874621916905,0.042877713712873404,5,2.47685657414523
0.0009,4,16,2,2,2,1,4,0.1,0,B0005,0.0027319972377437985,0.001901378336437379,0.02548720946552486,0.0428534545800875,15,2.3616253302647516
0.0009,4,16,2,2,2,1,4,0.1,0,B0006,0.0015694988417022234,0.0026662295604182873,0.03577886031597697,0.05038071922824795,31,2.4414331559781677
0.0009,4,16,2,2,2,1,4,0.1,0,B0007,0.00358501423529055,0.0010808798126737728,0.014308921038206279,0.03256386485837146,37,2.151366559938453
0.0009,4,16,2,2,2,1,4,0.1,0,B0018,0.005531591075155989,0.0032536274257359936,0.03355535805786581,0.05604490342583144,5,2.5128140752965753
0.0009,4,16,2,2,2,2,1,0.1,0,B0005,0.0010908373700569828,0.0009941254764791146,0.012315758511738687,0.03128829949130392,55,2.4075492268516903
0.0009,4,16,2,2,2,2,1,0.1,0,B0006,0.0034239987328683764,0.0038637494144495577,0.030105142052600283,0.06142570655541637,32,2.6546437100666327
0.0009,4,16,2,2,2,2,1,0.1,0,B0007,0.001336864326327082,0.0014202380478213616,0.016985380848511294,0.037301310295151976,52,2.3523759421180275
0.0009,4,16,2,2,2,2,1,0.1,0,B0018,0.006073789760827485,0.0022149442709286675,0.02177599651846329,0.046556684419567555,5,2.6992341605099766
0.0009,4,16,2,2,2,2,2,0.1,0,B0005,0.0023159675163297814,0.0013025904398611082,0.030462313932248877,0.0347821100923108,37,2.5746683252268823
0.0009,4,16,2,2,2,2,2,0.1,0,B0006,0.004122193423532989,0.002751895550924625,0.0348943199410209,0.05128483414030326,16,2.7313121990724043
0.0009,4,16,2,2,2,2,2,0.1,0,B0007,0.002781667699916094,0.0013322581870804577,0.026059091705418615,0.03555770741837031,66,2.4207663433305147
0.0009,4,16,2,2,2,2,2,0.1,0,B0018,0.008702716438604645,0.00268326627805696,0.03594535071780476,0.05053770321723514,3,2.7799711182432354
0.0009,4,16,2,2,2,2,4,0.1,0,B0005,0.000635275711651846,0.0013653882064578024,0.014652517348745779,0.03665949528419911,74,2.6523618255892107
0.0009,4,16,2,2,2,2,4,0.1,0,B0006,0.005090183377116012,0.0024377346083686766,0.02367140606673685,0.048802674808534986,9,2.687217829591137
0.0009,4,16,2,2,2,2,4,0.1,0,B0007,0.005162731786387869,0.0011359156700755672,0.01975745509480293,0.033119178360180114,28,2.4576954444249473
0.0009,4,16,2,2,2,2,4,0.1,0,B0018,0.004559032240322676,0.0033123468906740613,0.04281669393333497,0.05593764351373579,5,2.801987821405584
0.0009,4,16,2,2,2,4,1,0.1,0,B0005,0.007233801995980463,0.0020954643090850106,0.025937458989426464,0.045035420744559566,31,2.6720419960257447
0.0009,4,16,2,2,2,4,1,0.1,0,B0006,0.0012849693115175225,0.0016565225344796393,0.023231087103332597,0.040031914551793175,123,2.686336841197372
0.0009,4,16,2,2,2,4,1,0.1,0,B0007,0.002133338351591697,0.0011279263665193483,0.01674797754778712,0.033164391936706866,58,2.3997490803400674
0.0009,4,16,2,2,2,4,1,0.1,0,B0018,0.011341715931337787,0.0034571591545716814,0.03155535624715037,0.057944672857979926,3,2.7331194202854947
0.0009,4,16,2,2,2,4,2,0.1,0,B0005,0.002504023090207228,0.0017745622032764783,0.01664677484370605,0.04179534296357043,27,2.612314896150069
0.0009,4,16,2,2,2,4,2,0.1,0,B0006,0.0014124146072030863,0.0017298413331445772,0.0223471907174334,0.0409866031323862,66,2.705670576671074
0.0009,4,16,2,2,2,4,2,0.1,0,B0007,0.005304018068677073,0.0011701351425137162,0.02138045201417379,0.03353241363145309,28,2.3870046047063975
0.0009,4,16,2,2,2,4,2,0.1,0,B0018,0.010250082626687676,0.002562196821686701,0.050754215751176925,0.04800622652817699,6,2.7509722326483046
0.0009,4,16,2,2,2,4,4,0.1,0,B0005,0.0005762435369145284,0.001164916316286378,0.024973399495190847,0.03320465705583401,159,2.6164982216209887
0.0009,4,16,2,2,2,4,4,0.1,0,B0006,0.004490396440814948,0.0029567809700286793,0.025353059221274253,0.05378199684878287,9,2.7145118147639904
0.0009,4,16,2,2,2,4,4,0.1,0,B0007,0.0016666079338594703,0.0012423449203484587,0.01934381239275147,0.034712053038321825,50,2.398957688808441
0.0009,4,16,2,2,2,4,4,0.1,0,B0018,0.002322267881088388,0.0033160165503865018,0.035978332242740295,0.0564497344299715,32,2.6823428636643945
