lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0009,4,16,2,2,1,1,1,0.1,0,B0005,0.0029521345111389544,0.002271358959010935,0.013087381880402364,0.047478742460834264,62,1.3973387501069479
0.0009,4,16,2,2,1,1,1,0.1,0,B0006,0.0036795781893171047,0.0030441536115783188,0.025403519170518772,0.05458589319526285,46,1.4919655472040176
0.0009,4,16,2,2,1,1,1,0.1,0,B0007,0.0039964295170244035,0.0010235702237351735,0.010848506809566468,0.031808823051464825,98,1.3960573930998106
0.0009,4,16,2,2,1,1,1,0.1,0,B0018,0.0037174541949558733,0.003546099834195394,0.017720915099855416,0.05928487791155697,6,1.5860136534486498
0.0009,4,16,2,2,2,1,1,0.1,0,B0005,0.002319379424035305,0.0012462391483885377,0.019809606465127104,0.034741863744304866,69,2.5341267205086075
0.0009,4,16,2,2,2,1,1,0.1,0,B0006,0.004783145866599096,0.002232802459426845,0.023180975262916362,0.046680474533939795,9,2.442309682652102
0.0009,4,16,2,2,2,1,1,0.1,0,B0007,0.0026763128054072796,0.0006410658641375209,0.020617377100956402,0.024465450032097862,44,2.2037707415032894
0.0009,4,16,2,2,2,1,1,0.1,0,B0018,0.008871130772154736,0.0018357434386243334,0.02402388177663775,0.04216667815773617,3,2.5235450357761025
0.0009,4,16,2,2,3,1,1,0.1,0,B0005,0.0685049031815696,0.06830120703879013,0.07588708906295352,0.2602408904272011,3,3.3023316905183613
0.0009,4,16,2,2,3,1,1,0.1,0,B0006,0.06688781769209823,0.06212425814010203,0.08623671439362496,0.24775104855608712,37,3.4459689896682213
0.0009,4,16,2,2,3,1,1,0.1,0,B0007,0.06447618324050887,0.06887709626492947,0.08960556853008009,0.2609102929555349,34,3.0138691465059915
0.0009,4,16,2,2,3,1,1,0.1,0,B0018,0.001887150697635416,0.00377083617145434,0.03345924877705463,0.06048871004443026,63,3.7510499384550924
0.0009,4,16,2,2,4,1,1,0.1,0,B0005,0.06659464842480857,0.06830826190084086,0.07610238248860912,0.26024815956631986,35,4.639701672161327
0.0009,4,16,2,2,4,1,1,0.1,0,B0006,0.08008498512208462,0.0662861351374886,0.0882323275887524,0.2559446040371966,1,4.391443547080545
0.0009,4,16,2,2,4,1,1,0.1,0,B0007,0.08409807864680058,0.06864487709160465,0.07572894175796174,0.2609049438928916,1,3.8897146383921304
0.0009,4,16,2,2,4,1,1,0.1,0,B0018,0.06747774244024513,0.06366850274969779,0.058997939303716405,0.2516355040314633,9,4.482161230960135
0.0009,4,16,2,3,1,1,1,0.1,0,B0005,0.004843827278464011,0.0017323633056938498,0.014754167034865949,0.04135933741545283,55,1.6665184020996093
0.0009,4,16,2,3,1,1,1,0.1,0,B0006,0.004194941505861501,0.0019798565801162718,0.021730180370091324,0.04396176187796076,66,1.6961323125609036
0.0009,4,16,2,3,1,1,1,0.1,0,B0007,0.004740683042554237,0.0008051156803144534,0.013966034992459247,0.028028747406643868,39,1.545567073179095
0.0009,4,16,2,3,1,1,1,0.1,0,B0018,0.0032565100177379554,0.0038789309647178187,0.026053829256395326,0.061733708021133496,11,1.7706343971314977
0.0009,4,16,2,3,2,1,1,0.1,0,B0005,0.0014391306866877486,0.0011593307233722175,0.016485429762763328,0.03364749281331667,64,2.859518427597849
0.0009,4,16,2,3,2,1,1,0.1,0,B0006,0.0036540582981150122,0.0033961150281053656,0.030829490988193556,0.05745493251400477,38,2.838589454239065
0.0009,4,16,2,3,2,1,1,0.1,0,B0007,0.0038844805087339613,0.0013634702472221474,0.02123916379919951,0.036309228032808075,29,2.503184750110288
0.0009,4,16,2,3,2,1,1,0.1,0,B0018,0.004746027064203609,0.00349894900795161,0.01995033294097804,0.05881451708030065,10,2.9198032061258954
0.0009,4,16,2,3,3,1,1,0.1,0,B0005,0.001356412507625575,0.0013166672953437747,0.017478272557792964,0.03586249166927395,67,3.9260856412414813
0.0009,4,16,2,3,3,1,1,0.1,0,B0006,0.004117658094443424,0.0028571310179662155,0.025380133761302954,0.05284615287045858,24,3.9645607922528243
0.0009,4,16,2,3,3,1,1,0.1,0,B0007,0.002372882051632688,0.0014116555451580911,0.014021646912466402,0.03730944770170057,30,3.57857623398304
0.0009,4,16,2,3,3,1,1,0.1,0,B0018,0.0029463682986215134,0.004163651926016125,0.02705400454851743,0.06395670418104002,39,4.109103446596124
0.0009,4,16,2,3,4,1,1,0.1,0,B0005,0.06527275179808097,0.06736830614110138,0.07217491202915766,0.2585486113755835,8,5.010487034403044
0.0009,4,16,2,3,4,1,1,0.1,0,B0006,0.06658190480693309,0.06651290259833331,0.10024937607278323,0.25594512821798787,44,5.180999753323007
0.0009,4,16,2,3,4,1,1,0.1,0,B0007,0.06371613702503964,0.06864527261763885,0.07548360989790961,0.2609128113123003,92,4.614006430330411
0.0009,4,16,2,3,4,1,1,0.1,0,B0018,0.06636361469347239,0.062272292686559795,0.0636155135537885,0.24873198250155748,10,5.2979629874229435
0.0009,4,16,2,4,1,1,1,0.1,0,B0005,0.003702890514055403,0.0018894606600952102,0.02968591949931814,0.04244214060488079,39,1.809481162703439
0.0009,4,16,2,4,1,1,1,0.1,0,B0006,0.003218724207748215,0.00204218851680101,0.023938513020789278,0.044552028912020425,49,1.8627637901691476
0.0009,4,16,2,4,1,1,1,0.1,0,B0007,0.0046179818422792274,0.0010959155867064844,0.019895907761615282,0.032501244003256415,46,1.6574690639972687
0.0009,4,16,2,4,1,1,1,0.1,0,B0018,0.005942339695639532,0.0023716887580598096,0.042790549613958284,0.04678232170687848,2,1.902548496539776
0.0009,4,16,2,4,2,1,1,0.1,0,B0005,0.0020119129160487254,0.0020044147499252824,0.011676188699243646,0.04461817341196297,86,3.1659761404289917
0.0009,4,16,2,4,2,1,1,0.1,0,B0006,0.0033813605930549254,0.0019847173971356824,0.025005104714645676,0.043842808725149486,33,3.264567978410836
0.0009,4,16,2,4,2,1,1,0.1,0,B0007,0.0035343973864251487,0.0009225853765967354,0.014198456387005358,0.03004040190911504,35,2.909986223894007
0.0009,4,16,2,4,2,1,1,0.1,0,B0018,0.00207351029129814,0.003335022909769101,0.02922566071637438,0.057005341680312335,55,3.3635508582705542
0.0009,4,16,2,4,3,1,1,0.1,0,B0005,0.06662404319703034,0.06807847052498671,0.0771033437884214,0.25977678515380115,6,4.519653196845736
0.0009,4,16,2,4,3,1,1,0.1,0,B0006,0.002905372584622413,0.002521170852257152,0.029174245161197012,0.04935643025875801,96,4.707564659314613
0.0009,4,16,2,4,3,1,1,0.1,0,B0007,0.0018682686451130495,0.0008204442229295015,0.024937117342427925,0.0275364891059327,79,4.281184793442719
0.0009,4,16,2,4,3,1,1,0.1,0,B0018,0.003578728269275508,0.003921082318161747,0.022715280328143517,0.062205175931185505,32,4.861971721416566
0.0009,4,16,2,4,4,1,1,0.1,0,B0005,0.06529533197512714,0.06425972972699258,0.06818710345929872,0.25257628771900614,19,5.978424556013467
0.0009,4,16,2,4,4,1,1,0.1,0,B0006,0.06754519130904661,0.06616377840085381,0.08872668612581744,0.25568835554459185,4,6.110263881859956
0.0009,4,16,2,4,4,1,1,0.1,0,B0007,0.06391993552420495,0.06866004876562663,0.07642037451441325,0.26091385854914345,98,5.488683663509987
0.0009,4,16,2,4,4,1,1,0.1,0,B0018,0.06961969053895956,0.06434958740802747,0.09924282272730724,0.251723406851545,22,6.220749225881365
0.0009,4,16,3,2,1,1,1,0.1,0,B0005,0.0029052136613289606,0.0021819207925415996,0.013060698410096562,0.04652808423402995,62,1.475836313196591
0.0009,4,16,3,2,1,1,1,0.1,0,B0006,0.0037288611354089752,0.003255860561694135,0.02506073797394543,0.05650713691139111,46,1.4500919828812282
0.0009,4,16,3,2,1,1,1,0.1,0,B0007,0.0043266963863667724,0.0010358711332580576,0.017727809848993362,0.03169295815837215,72,1.2970481133851848
0.0009,4,16,3,2,1,1,1,0.1,0,B0018,0.0038023260685293462,0.0034941949609977505,0.017792479881731566,0.058843332206185234,6,1.5077621468475886
0.0009,4,16,3,2,2,1,1,0.1,0,B0005,0.003551540117369746,0.002266488811853508,0.024459461105691242,0.04697512435453256,12,2.4076015333975516
0.0009,4,16,3,2,2,1,1,0.1,0,B0006,0.0037793999134771374,0.0016544173667322564,0.028041247594341734,0.039696174022018305,16,2.4402403723109853
0.0009,4,16,3,2,2,1,1,0.1,0,B0007,0.0013634891663766918,0.0010146343674454041,0.012563339300469057,0.03160459791891439,47,2.2101109617764187
0.0009,4,16,3,2,2,1,1,0.1,0,B0018,0.00798691931217281,0.003071763133838041,0.027985960106219208,0.05471235437919671,3,2.507267178229566
0.0009,4,16,3,2,3,1,1,0.1,0,B0005,0.06850675303806983,0.06830119768918459,0.07588685261194354,0.2602408811948888,3,3.354882667649467
0.0009,4,16,3,2,3,1,1,0.1,0,B0006,0.0696299945350823,0.06629227400723418,0.08906827399693364,0.25592764294667,2,3.667565570427821
0.0009,4,16,3,2,3,1,1,0.1,0,B0007,0.0640257181334568,0.06845706836056227,0.07642214510350079,0.2605245360153313,41,3.0860900695507345
0.0009,4,16,3,2,3,1,1,0.1,0,B0018,0.07045680882534787,0.0638023955051765,0.07027588311683829,0.2516118557126084,18,3.5506816506385803
0.0009,4,16,3,2,4,1,1,0.1,0,B0005,0.06659470047665442,0.06830826175947939,0.07610259931583917,0.2602481556582233,35,4.372018915064195
0.0009,4,16,3,2,4,1,1,0.1,0,B0006,0.08008601264161773,0.06628610720023669,0.08823036604248567,0.2559446190921175,1,4.482459217894311
0.0009,4,16,3,2,4,1,1,0.1,0,B0007,0.08409656170341703,0.0686448548080271,0.07572887030552597,0.26090490302758945,1,4.031962184345021
