lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0006,4,4,3,3,2,1,1,0.1,0,B0005,0.0026742922422183656,0.0017659615275208904,0.014640637023431054,0.041767531724129975,59,3.1029719890804466
0.0006,4,4,3,3,2,1,1,0.1,0,B0006,0.003683306895423854,0.0032783412498247344,0.041459110470363804,0.05573558542477107,12,3.2851378648511824
0.0006,4,4,3,3,2,1,1,0.1,0,B0007,0.0037561662248764252,0.0009371754619056255,0.012310046544819502,0.03036481101171611,120,2.9169395713245168
0.0006,4,4,3,3,2,1,1,0.1,0,B0018,0.005088116596923785,0.005434067975286217,0.050632993615810404,0.07195622303168733,7,3.3246542947334157
0.0006,4,8,3,3,2,1,1,0.1,0,B0005,0.0010583584833778043,0.0013347174598103656,0.015650092219096447,0.03619702895294325,105,3.150053825686055
0.0006,4,8,3,3,2,1,1,0.1,0,B0006,0.0008686659778948863,0.0025482448624340273,0.024874014001872842,0.04986354585975639,147,3.2392829360090536
0.0006,4,8,3,3,2,1,1,0.1,0,B0007,0.002097635474759348,0.0008021700054517791,0.013821487057579684,0.02798332802567379,73,2.6892042353870425
0.0006,4,8,3,3,2,1,1,0.1,0,B0018,0.0019933226995112563,0.004324158703509186,0.02034666574130115,0.06544279967929083,20,3.163941727365766
0.0006,4,16,3,3,2,1,1,0.1,0,B0005,0.002716916730228482,0.0017214600499885688,0.025206227924163663,0.040717620816913644,15,2.9265932670006385
0.0006,4,16,3,3,2,1,1,0.1,0,B0006,0.0012477094496716745,0.0012771022578211462,0.03594843815010369,0.033880277744702696,129,2.961759155689005
0.0006,4,16,3,3,2,1,1,0.1,0,B0007,0.0008151813231557349,0.0015176482520473655,0.0246780918698735,0.03816736078527899,83,2.6800360643774046
0.0006,4,16,3,3,2,1,1,0.1,0,B0018,0.005064196364360265,0.0039520364475070634,0.0337386271981722,0.06195326380593497,4,3.056450989511278
0.0006,4,32,3,3,2,1,1,0.1,0,B0005,0.0010526840991721058,0.0014790586951026594,0.02286766317079122,0.03777255202536768,121,2.864920179746304
0.0006,4,32,3,3,2,1,1,0.1,0,B0006,0.003913396184649426,0.0025340777804861623,0.030498435324740617,0.04940710829470164,43,2.9401548780420774
0.0006,4,32,3,3,2,1,1,0.1,0,B0007,0.0017298776529059978,0.001473015200501418,0.018916344580373404,0.03791084781388447,58,2.841553537933915
0.0006,4,32,3,3,2,1,1,0.1,0,B0018,0.002311727933630117,0.006135875079053221,0.023971478939144083,0.07796417050767003,29,3.3054401180412194
0.0006,4,64,3,3,2,1,1,0.1,0,B0005,0.003890291166565631,0.0020587937443841448,0.024057657866127794,0.044731606781243084,25,3.1285970497131346
0.0006,4,64,3,3,2,1,1,0.1,0,B0006,0.0046029967336433525,0.002594743543492465,0.028491975999705155,0.05013545900521036,12,3.2609964801419165
0.0006,4,64,3,3,2,1,1,0.1,0,B0007,0.006325098276445513,0.0013259128592931358,0.019749594306810597,0.03587350283989346,41,2.914068274445586
0.0006,4,64,3,3,2,1,1,0.1,0,B0018,0.0065633885966603425,0.0038556399851499704,0.025624824988022408,0.06156278773540138,5,3.329701649058949
0.0006,8,4,3,3,2,1,1,0.1,0,B0005,0.004566279367725478,0.0025136151681571,0.024225634828676013,0.049547220236316435,28,1.6290605373871632
0.0006,8,4,3,3,2,1,1,0.1,0,B0006,0.0029934302140243872,0.003118628684508925,0.02739596228176393,0.05516860330254779,58,1.6529646935286346
0.0006,8,4,3,3,2,1,1,0.1,0,B0007,0.0037454885459737852,0.001088258004050371,0.012167569194665898,0.032763593396781705,149,1.486936203798457
0.0006,8,4,3,3,2,1,1,0.1,0,B0018,0.0012293703873486569,0.004587085770749995,0.022455409725842836,0.0673547415232597,69,1.7025368393970137
0.0006,8,8,3,3,2,1,1,0.1,0,B0005,0.003840218481278365,0.002481421512909167,0.026600255078717983,0.049098515297561825,17,1.6127308304630108
0.0006,8,8,3,3,2,1,1,0.1,0,B0006,0.003332797033159972,0.0036097128856151053,0.05064541723606329,0.05790696921016553,9,1.6412848496841173
0.0006,8,8,3,3,2,1,1,0.1,0,B0007,0.003363303064058224,0.0009390698545949386,0.021656151002709446,0.02986923104463377,25,1.4580313873291015
0.0006,8,8,3,3,2,1,1,0.1,0,B0018,0.0029309928067959845,0.0037821364133957436,0.04291253088004296,0.05998322998336277,10,1.6585996826489766
0.0006,8,16,3,3,2,1,1,0.1,0,B0005,0.0007458080778256195,0.0008924459829618822,0.010737597155102202,0.029680235466634678,60,1.598316461389715
0.0006,8,16,3,3,2,1,1,0.1,0,B0006,0.0010890424099945745,0.002271155632721881,0.028270641694483838,0.04681060471530459,62,1.640257477760315
0.0006,8,16,3,3,2,1,1,0.1,0,B0007,0.00361760615487583,0.0009801924582126574,0.01829818684348496,0.030768654721963593,31,1.4339695359453744
0.0006,8,16,3,3,2,1,1,0.1,0,B0018,0.00407801647670567,0.005179899585941298,0.03585915577004647,0.07107258074114403,8,1.67239262317789
0.0006,8,32,3,3,2,1,1,0.1,0,B0005,0.0011006071517618782,0.001079130646498275,0.019785064854606307,0.03224881031759834,74,1.5863963019463323
0.0006,8,32,3,3,2,1,1,0.1,0,B0006,0.0031818048392292545,0.0025977651688056844,0.026809934509333243,0.05025821244062737,10,1.6363081693649293
0.0006,8,32,3,3,2,1,1,0.1,0,B0007,0.0016049027132491271,0.0009733561999287064,0.013714313331252271,0.03089575974652886,45,1.4870220736453408
