lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0007,16,16,3,3,2,1,1,0.64,0.0,0.04251774549027368,0.012900638877915736
0.0007,16,16,3,3,2,1,1,0.64,0.01,0.0451977779666594,0.004576025501113362
0.0007,16,16,3,3,2,1,1,0.64,0.02,0.0481299875359423,0.01057719176264828
0.0007,16,16,3,3,2,1,1,0.64,0.03,0.046850123018288725,0.006487373493396587
0.0007,16,16,3,3,2,1,1,0.64,0.04,0.04991479218716033,0.00761887821075616
0.0007,16,16,3,3,2,1,1,0.64,0.05,0.05146387560633115,0.00823354371951212
0.0007,16,16,3,3,2,1,1,0.64,0.06,0.049753556364467946,0.009594779509991668
0.0007,16,16,3,3,2,1,1,0.64,0.07,0.053344951950089876,0.013343773266583462
0.0007,16,16,3,3,2,1,1,0.64,0.08,0.05375188645603185,0.013968986678549386
0.0007,16,16,3,3,2,1,1,0.64,0.09,0.058524360788447125,0.015114863542017644
0.0007,16,16,3,3,2,1,1,0.64,0.1,0.06547325778544387,0.022169345105757018
0.0007,16,16,3,3,2,1,1,0.64,0.11,0.07413103022152415,0.022326099661310838
0.0007,16,16,3,3,2,1,1,0.64,0.12,0.07352103065382434,0.02415625438339366
0.0007,16,16,3,3,2,1,1,0.64,0.13,0.06566521612278887,0.01616098331531706
0.0007,16,16,3,3,2,1,1,0.64,0.14,0.0703215835663968,0.009769694990824675
0.0007,16,16,3,3,2,1,1,0.64,0.15,0.08155729609629428,0.007668210209978131
0.0007,16,16,3,3,2,1,1,0.64,0.16,0.0788896213711169,0.01459087204639138
0.0007,16,16,3,3,2,1,1,0.64,0.17,0.08845541637640322,0.013887094453334584
0.0007,16,16,3,3,2,1,1,0.64,0.18,0.07784942237711907,0.02028405602733009
0.0007,16,16,3,3,2,1,1,0.64,0.19,0.09223392438359142,0.01726685414908329
0.0007,16,16,3,3,2,1,1,0.64,0.2,0.08298002194074287,0.012769103272211521
