lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0001,4,16,3,3,2,1,1,0.1,0,0.05331689415316587,0.01680943835321004
0.0001,8,16,3,3,2,1,1,0.1,0,0.0494614087433083,0.015552068128485457
0.0001,16,16,3,3,2,1,1,0.1,0,0.053077543655910026,0.017221226570258395
0.0001,32,16,3,3,2,1,1,0.1,0,0.05556313518849335,0.01595556250457508
0.0001,64,16,3,3,2,1,1,0.1,0,0.051598702442734,0.016338748332280845
0.0002,4,16,3,3,2,1,1,0.1,0,0.05055522741656597,0.012503230504916809
0.0002,8,16,3,3,2,1,1,0.1,0,0.0481382706049703,0.015509317738315265
0.0002,16,16,3,3,2,1,1,0.1,0,0.0520028515154806,0.01402236224338553
0.0002,32,16,3,3,2,1,1,0.1,0,0.047219173089598325,0.012009765896750362
0.0002,64,16,3,3,2,1,1,0.1,0,0.050110579671717254,0.0164731276498768
0.0003,4,16,3,3,2,1,1,0.1,0,0.0484656561576106,0.015455289201623984
0.0003,8,16,3,3,2,1,1,0.1,0,0.04992094979996532,0.013197891313777892
0.0003,16,16,3,3,2,1,1,0.1,0,0.05110837876603862,0.018990499693096425
0.0003,32,16,3,3,2,1,1,0.1,0,0.04989353693738905,0.01636618945421303
0.0003,64,16,3,3,2,1,1,0.1,0,0.0483074078218032,0.01669839912559277
0.0004,4,16,3,3,2,1,1,0.1,0,0.041907064899638524,0.011726610849584037
0.0004,8,16,3,3,2,1,1,0.1,0,0.04802975369450562,0.01748309509712101
0.0004,16,16,3,3,2,1,1,0.1,0,0.05055404453940207,0.0163671062665313
0.0004,32,16,3,3,2,1,1,0.1,0,0.04797374004995572,0.01567155000867645
0.0004,64,16,3,3,2,1,1,0.1,0,0.0441957643804254,0.012727970737439783
0.0005,4,16,3,3,2,1,1,0.1,0,0.045399363344160025,0.020956770527126696
0.0005,8,16,3,3,2,1,1,0.1,0,0.0428808966521539,0.012630151147562958
0.0005,16,16,3,3,2,1,1,0.1,0,0.049395428839094827,0.01576033952289961
0.0005,32,16,3,3,2,1,1,0.1,0,0.049438913156638106,0.016488347569823154
0.0005,64,16,3,3,2,1,1,0.1,0,0.04740267100900977,0.013641294550568015
0.0006,4,16,3,3,2,1,1,0.1,0,0.04333632040204233,0.008901285964795226
0.0006,8,16,3,3,2,1,1,0.1,0,0.047818037849036925,0.020823051253377835
0.0006,16,16,3,3,2,1,1,0.1,0,0.047776401346053175,0.013474556164521671
0.0006,32,16,3,3,2,1,1,0.1,0,0.0459430862836469,0.012828065605950663
0.0006,64,16,3,3,2,1,1,0.1,0,0.050965838980700756,0.015087498208235833
0.0007,4,16,3,3,2,1,1,0.1,0,0.044553648319320925,0.013050913437962995
0.0007,8,16,3,3,2,1,1,0.1,0,0.0442631639864353,0.016351218726873097
0.0007,16,16,3,3,2,1,1,0.1,0,0.0409215805982229,0.01130076366201451
0.0007,32,16,3,3,2,1,1,0.1,0,0.05041801524861665,0.016726165823978595
0.0007,64,16,3,3,2,1,1,0.1,0,0.0485011712392101,0.01624187078698917
0.0008,4,16,3,3,2,1,1,0.1,0,0.04400374325793108,0.01357374318053421
0.0008,8,16,3,3,2,1,1,0.1,0,0.04167874211340355,0.01116871849490203
0.0008,16,16,3,3,2,1,1,0.1,0,0.04638006917564143,0.011727001607931426
0.0008,32,16,3,3,2,1,1,0.1,0,0.049269741712320445,0.014912041799437512
0.0008,64,16,3,3,2,1,1,0.1,0,0.049832935124914206,0.017448746160422315
0.0009,4,16,3,3,2,1,1,0.1,0,0.04358575287118715,0.013723061555848676
0.0009,8,16,3,3,2,1,1,0.1,0,0.048401499745360024,0.015596068553159313
0.0009,16,16,3,3,2,1,1,0.1,0,0.04826180799534742,0.011479983737188707
0.0009,32,16,3,3,2,1,1,0.1,0,0.04876602678535212,0.015283461619840606
0.0009,64,16,3,3,2,1,1,0.1,0,0.046739090392878505,0.013177993069668645
0.001,4,16,3,3,2,1,1,0.1,0,0.04345434156035595,0.018854515968267326
0.001,8,16,3,3,2,1,1,0.1,0,0.0486013990720093,0.014929319535223294
0.001,16,16,3,3,2,1,1,0.1,0,0.0465973088806356,0.014541451806376574
0.001,32,16,3,3,2,1,1,0.1,0,0.04770710726640838,0.011073148408838123
0.001,64,16,3,3,2,1,1,0.1,0,0.0472369613857065,0.014532367824131129
