lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0008,128,16,7,4,2,1,1,0.0,0,0.07575812440912795,0.05201771184196264
0.0008,128,16,7,4,2,1,1,0.05,0,0.06929933283042397,0.03220197429440766
0.0008,128,16,7,4,2,1,1,0.1,0,0.056487229057957423,0.02240259471727749
0.0008,128,16,7,4,2,1,1,0.15,0,0.08335679985784403,0.05587230286397052
0.0008,128,16,7,4,2,1,1,0.2,0,0.10042578910515497,0.0635858292820756
0.0008,128,16,7,4,2,1,1,0.25,0,0.07256858057439311,0.04768352727922921
0.0008,128,16,7,4,2,1,1,0.3,0,0.10012041930812365,0.07283489659518143
0.0008,128,16,7,4,2,1,1,0.35,0,0.08824922493513992,0.06761038223822291
0.0008,128,16,7,4,2,1,1,0.4,0,0.08685207313159568,0.06382453935297949
0.0008,128,16,7,4,2,1,1,0.45,0,0.08199428910058948,0.06833439889005996
0.0008,128,16,7,4,2,1,1,0.5,0,0.09024810318966477,0.06749067226421313
0.0008,128,16,7,4,2,1,1,0.55,0,0.0893946471624157,0.05661282904775352
0.0008,128,16,7,4,2,1,1,0.6000000000000001,0,0.09452042659355142,0.07099865752527083
0.0008,128,16,7,4,2,1,1,0.65,0,0.08904094040957575,0.0680520972584093
0.0008,128,16,7,4,2,1,1,0.7000000000000001,0,0.08677067499365687,0.06361247708148936
0.0008,128,16,7,4,2,1,1,0.75,0,0.08711233881191653,0.04815181038661886
0.0008,128,16,7,4,2,1,1,0.8,0,0.10494227003104487,0.06907967162330057
0.0008,128,16,7,4,2,1,1,0.8500000000000001,0,0.08657848748872658,0.07038797792628614
0.0008,128,16,7,4,2,1,1,0.9,0,0.06735462652983228,0.030114113112242453
0.0008,128,16,7,4,2,1,1,0.95,0,0.08743888277699002,0.07011321427906886
0.0008,128,16,7,4,2,1,1,1.0,0,0.08189259328739032,0.0431597230068368
