lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0008,128,16,7,4,2,1,1,0.1,0.0,0.056487229057957423,0.02240259471727749
0.0008,128,16,7,4,2,1,1,0.1,1e-05,0.08200064151109587,0.05401438068331553
0.0008,128,16,7,4,2,1,1,0.1,2e-05,0.08067597284207505,0.052318966082421516
0.0008,128,16,7,4,2,1,1,0.1,3.0000000000000004e-05,0.08605140491188303,0.07448554015112333
0.0008,128,16,7,4,2,1,1,0.1,4e-05,0.08255135549697765,0.06856413350907947
0.0008,128,16,7,4,2,1,1,0.1,5e-05,0.07780059422343873,0.06799051430758558
0.0008,128,16,7,4,2,1,1,0.1,6e-05,0.08336192168384782,0.06861491173376462
0.0008,128,16,7,4,2,1,1,0.1,7.000000000000001e-05,0.08133002580068895,0.06257514072386224
0.0008,128,16,7,4,2,1,1,0.1,8e-05,0.08382584843090858,0.07503542869639432
0.0008,128,16,7,4,2,1,1,0.1,9e-05,0.06597995977596476,0.039614283315777564
0.0008,128,16,7,4,2,1,1,0.1,0.0001,0.08657026607924315,0.08089451331205136
