lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0008,128,16,5,2,1,1,1,0.1,0,0.08367505740437355,0.07438355661448758
0.0008,128,16,5,2,2,1,1,0.1,0,0.08782636298120548,0.08163158032078327
0.0008,128,16,5,2,3,1,1,0.1,0,0.08613146592779396,0.05590703954323849
0.0008,128,16,5,2,4,1,1,0.1,0,0.07908817092865325,0.06643082195948798
0.0008,128,16,5,3,1,1,1,0.1,0,0.08120325955074502,0.0792449124449813
0.0008,128,16,5,3,2,1,1,0.1,0,0.08193275544382154,0.06938909097950192
0.0008,128,16,5,3,3,1,1,0.1,0,0.10083113540581692,0.057499268796483434
0.0008,128,16,5,3,4,1,1,0.1,0,0.1051277081131115,0.05554475596520089
0.0008,128,16,5,4,1,1,1,0.1,0,0.08143079794355587,0.07261488974395214
0.0008,128,16,5,4,2,1,1,0.1,0,0.09212424427714898,0.06870087400270919
0.0008,128,16,5,4,3,1,1,0.1,0,0.09098279041231933,0.05283348552194528
0.0008,128,16,5,4,4,1,1,0.1,0,0.0937404421258697,0.04288532428777335
0.0008,128,16,7,2,1,1,1,0.1,0,0.08283251221701912,0.07566252443858967
0.0008,128,16,7,2,2,1,1,0.1,0,0.09100506482079053,0.08513098576196665
0.0008,128,16,7,2,3,1,1,0.1,0,0.10016078507383366,0.0798907218387393
0.0008,128,16,7,2,4,1,1,0.1,0,0.08508518908610242,0.07432198822785943
0.0008,128,16,7,3,1,1,1,0.1,0,0.08067789470753343,0.07982930963780425
0.0008,128,16,7,3,2,1,1,0.1,0,0.08505614905763183,0.06988146168099732
0.0008,128,16,7,3,3,1,1,0.1,0,0.09187006232117029,0.0511170109717652
0.0008,128,16,7,3,4,1,1,0.1,0,0.09487014888770923,0.044844318481201004
0.0008,128,16,7,4,1,1,1,0.1,0,0.08219595263025313,0.07263350736458594
0.0008,128,16,7,4,2,1,1,0.1,0,0.056487229057957423,0.02240259471727749
0.0008,128,16,7,4,3,1,1,0.1,0,0.1195859421881295,0.057833707119460606
0.0008,128,16,7,4,4,1,1,0.1,0,0.0973161721369599,0.058573603819777185
0.0008,128,16,9,2,1,1,1,0.1,0,0.08284530438414117,0.07685703976059763
0.0008,128,16,9,2,2,1,1,0.1,0,0.09052955503249502,0.08401150345569493
0.0008,128,16,9,2,3,1,1,0.1,0,0.07567806045259046,0.03191457823039372
0.0008,128,16,9,2,4,1,1,0.1,0,0.08428177127586613,0.05464751446737686
0.0008,128,16,9,3,1,1,1,0.1,0,0.08111194752046358,0.07956068233507468
0.0008,128,16,9,3,2,1,1,0.1,0,0.09049587053221413,0.07744703985157238
0.0008,128,16,9,3,3,1,1,0.1,0,0.08112530617749257,0.02186470053220451
0.0008,128,16,9,3,4,1,1,0.1,0,0.08327898478754403,0.04861794769328555
0.0008,128,16,9,4,1,1,1,0.1,0,0.08072344098198608,0.07290467559289313
0.0008,128,16,9,4,2,1,1,0.1,0,0.07896056989638553,0.042649682538200964
0.0008,128,16,9,4,3,1,1,0.1,0,0.09876732289868657,0.04710048525536146
0.0008,128,16,9,4,4,1,1,0.1,0,0.09968110827634769,0.052226839591734874
0.0008,128,16,11,2,1,1,1,0.1,0,0.08280278509670845,0.0778169779443455
0.0008,128,16,11,2,2,1,1,0.1,0,0.08728002285781951,0.08048196107631989
0.0008,128,16,11,2,3,1,1,0.1,0,0.0929585881879018,0.05641318720267811
0.0008,128,16,11,2,4,1,1,0.1,0,0.0744747275578076,0.0552436052129096
0.0008,128,16,11,3,1,1,1,0.1,0,0.08146600323669163,0.07928927649009714
0.0008,128,16,11,3,2,1,1,0.1,0,0.0891397344402504,0.07947135926358576
0.0008,128,16,11,3,3,1,1,0.1,0,0.08978372833341766,0.04156137536776641
0.0008,128,16,11,3,4,1,1,0.1,0,0.10462278524704315,0.05905639603617731
0.0008,128,16,11,4,1,1,1,0.1,0,0.07903219944355103,0.06819368237229807
0.0008,128,16,11,4,2,1,1,0.1,0,0.07691335247454012,0.032975565767716486
0.0008,128,16,11,4,3,1,1,0.1,0,0.08581643044029688,0.04188094200043429
0.0008,128,16,11,4,4,1,1,0.1,0,0.0969755987745216,0.03232341723066515
