lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0009,4,16,2,2,2,1,1,0.0,0,0.044206213108624576,0.010536515595334018
0.0009,4,16,2,2,2,1,1,0.05,0,0.045823753147297724,0.01660102773069255
0.0009,4,16,2,2,2,1,1,0.1,0,0.0370136166170196,0.009706003829004814
0.0009,4,16,2,2,2,1,1,0.15,0,0.04191797182479488,0.014738038329433076
0.0009,4,16,2,2,2,1,1,0.2,0,0.04539260103530372,0.0103550670832703
0.0009,4,16,2,2,2,1,1,0.25,0,0.03876234033511328,0.007005214945176431
0.0009,4,16,2,2,2,1,1,0.3,0,0.03963092071423682,0.00585586997819982
0.0009,4,16,2,2,2,1,1,0.35,0,0.0980369447928138,0.09478676159436253
0.0009,4,16,2,2,2,1,1,0.4,0,0.04801797991928808,0.014240611493332313
0.0009,4,16,2,2,2,1,1,0.45,0,0.04805853071968075,0.020348273773448097
0.0009,4,16,2,2,2,1,1,0.5,0,0.04390509327054495,0.004087470338994214
0.0009,4,16,2,2,2,1,1,0.55,0,0.03942630249030605,0.00965891157102406
0.0009,4,16,2,2,2,1,1,0.6000000000000001,0,0.04345857084818923,0.012444385481233736
0.0009,4,16,2,2,2,1,1,0.65,0,0.0483901277234,0.010534848035538077
0.0009,4,16,2,2,2,1,1,0.7000000000000001,0,0.045289833184445905,0.010090611973468023
0.0009,4,16,2,2,2,1,1,0.75,0,0.042861542391251825,0.0074294839654908545
0.0009,4,16,2,2,2,1,1,0.8,0,0.04532425011334825,0.014476612331372428
0.0009,4,16,2,2,2,1,1,0.8500000000000001,0,0.04589382970502812,0.012300923963282041
0.0009,4,16,2,2,2,1,1,0.9,0,0.04583789502137885,0.0068276968719814144
0.0009,4,16,2,2,2,1,1,0.95,0,0.04823930527126723,0.012595063759356933
0.0009,4,16,2,2,2,1,1,1.0,0,0.046986537664746024,0.017436680849858922
