lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0009,4,16,2,2,2,1,1,0.1,0.0,0.0370136166170196,0.009706003829004814
0.0009,4,16,2,2,2,1,1,0.1,1e-05,0.0427372358276939,0.009827812873406944
0.0009,4,16,2,2,2,1,1,0.1,2e-05,0.04558039619267823,0.011694174570761932
0.0009,4,16,2,2,2,1,1,0.1,3.0000000000000004e-05,0.044851390490962824,0.017076108626641027
0.0009,4,16,2,2,2,1,1,0.1,4e-05,0.03857693041308498,0.007044251801793481
0.0009,4,16,2,2,2,1,1,0.1,5e-05,0.04382659888705755,0.011946821015690503
0.0009,4,16,2,2,2,1,1,0.1,6e-05,0.047229021744209974,0.012524605169072764
0.0009,4,16,2,2,2,1,1,0.1,7.000000000000001e-05,0.04309324932881223,0.008022552177597442
0.0009,4,16,2,2,2,1,1,0.1,8e-05,0.09034886567072978,0.09635706695114102
0.0009,4,16,2,2,2,1,1,0.1,9e-05,0.0400191862624252,0.009763532392529362
0.0009,4,16,2,2,2,1,1,0.1,0.0001,0.0405804597071715,0.009056272962930344
0.0009,4,16,2,2,2,1,1,0.1,0.0002,0.04227194306209647,0.0090252926607835
0.0009,4,16,2,2,2,1,1,0.1,0.0003,0.04490377469005692,0.00920450081193941
0.0009,4,16,2,2,2,1,1,0.1,0.0004,0.04417041131728035,0.008027691268225593
0.0009,4,16,2,2,2,1,1,0.1,0.0005,0.047111490297088346,0.01185784033635417
0.0009,4,16,2,2,2,1,1,0.1,0.0006,0.04349310119812022,0.006696503111451708
0.0009,4,16,2,2,2,1,1,0.1,0.0007,0.04809119431089175,0.008736724277030417
0.0009,4,16,2,2,2,1,1,0.1,0.0008,0.0491689591013115,0.014615956358115084
0.0009,4,16,2,2,2,1,1,0.1,0.0009,0.0456055775382955,0.013154273069940253
0.0009,4,16,2,2,2,1,1,0.1,0.001,0.04164136261590245,0.0070863124961497714
0.0009,4,16,2,2,2,1,1,0.1,0.002,0.044325763216550525,0.006787284239927993
0.0009,4,16,2,2,2,1,1,0.1,0.003,0.051704420041058796,0.008910402445702256
0.0009,4,16,2,2,2,1,1,0.1,0.004,0.048923561144262676,0.010648753987790612
0.0009,4,16,2,2,2,1,1,0.1,0.005,0.0485442241039084,0.011212917308021587
0.0009,4,16,2,2,2,1,1,0.1,0.006,0.04287877495269898,0.006991730418380351
0.0009,4,16,2,2,2,1,1,0.1,0.007,0.051041441267938775,0.009860340452366674
0.0009,4,16,2,2,2,1,1,0.1,0.008,0.05020607229282155,0.013689628974911414
0.0009,4,16,2,2,2,1,1,0.1,0.009,0.046518925358438074,0.010712542231074344
0.0009,4,16,2,2,2,1,1,0.1,0.01,0.0444791603181824,0.008279910888556119
0.0009,4,16,2,2,2,1,1,0.1,0.02,0.048384652997600405,0.011414657822484452
0.0009,4,16,2,2,2,1,1,0.1,0.03,0.05132505715852642,0.012591280417507272
0.0009,4,16,2,2,2,1,1,0.1,0.04,0.0472568085257752,0.015093566708907758
0.0009,4,16,2,2,2,1,1,0.1,0.05,0.0493890164387012,0.012220850678916761
0.0009,4,16,2,2,2,1,1,0.1,0.06,0.054347172062697104,0.01235298112702046
0.0009,4,16,2,2,2,1,1,0.1,0.07,0.05604368363840737,0.012170093415264201
0.0009,4,16,2,2,2,1,1,0.1,0.08,0.05261667979035235,0.020719841276949057
0.0009,4,16,2,2,2,1,1,0.1,0.09,0.05481332581231248,0.017168236209760775
0.0009,4,16,2,2,2,1,1,0.1,0.1,0.05769735010532447,0.02505609057239281
