lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0009,4,16,2,2,1,1,1,0.1,0,0.04828958415477967,0.012011285569944498
0.0009,4,16,2,2,2,1,1,0.1,0,0.0370136166170196,0.009706003829004814
0.0009,4,16,2,2,3,1,1,0.1,0,0.20734773549581334,0.09809287174747248
0.0009,4,16,2,2,4,1,1,0.1,0,0.25718330288196783,0.004303347736491669
0.0009,4,16,2,3,1,1,1,0.1,0,0.04377088868029767,0.013860374004474527
0.0009,4,16,2,3,2,1,1,0.1,0,0.04655654261010748,0.013424900537327845
0.0009,4,16,2,3,3,1,1,0.1,0,0.04749369910561822,0.013400040553465848
0.0009,4,16,2,3,4,1,1,0.1,0,0.2560346333518573,0.005274259073648967
0.0009,4,16,2,4,1,1,1,0.1,0,0.041569433806758975,0.006299834846749999
0.0009,4,16,2,4,2,1,1,0.1,0,0.0438766814316349,0.011020515847993705
0.0009,4,16,2,4,3,1,1,0.1,0,0.09971872011241932,0.10766070916573446
0.0009,4,16,2,4,4,1,1,0.1,0,0.2552254771660716,0.00415750888421224
0.0009,4,16,3,2,1,1,1,0.1,0,0.04839287787749458,0.01234798187698516
0.0009,4,16,3,2,2,1,1,0.1,0,0.043247062668665445,0.00989119395508436
0.0009,4,16,3,2,3,1,1,0.1,0,0.25707622896737464,0.0042065215294215235
0.0009,4,16,3,2,4,1,1,0.1,0,0.2572249396119655,0.004231965096792876
0.0009,4,16,3,3,1,1,1,0.1,0,0.043266372328518425,0.013579638069011484
0.0009,4,16,3,3,2,1,1,0.1,0,0.04226261690787648,0.011491235548825737
0.0009,4,16,3,3,3,1,1,0.1,0,0.04357974982923245,0.009234416441600082
0.0009,4,16,3,3,4,1,1,0.1,0,0.2562816032832415,0.004218148956583539
0.0009,4,16,3,4,1,1,1,0.1,0,0.04152442573900933,0.008652326656792338
0.0009,4,16,3,4,2,1,1,0.1,0,0.045962337451203025,0.009799022973592957
0.0009,4,16,3,4,3,1,1,0.1,0,0.14608067911897682,0.12505895293162891
0.0009,4,16,3,4,4,1,1,0.1,0,0.25707203959025676,0.0042947251581401955
0.0009,4,16,5,2,1,1,1,0.1,0,0.048401179817559724,0.012642335302920952
0.0009,4,16,5,2,2,1,1,0.1,0,0.04138606320928165,0.008899303284617828
0.0009,4,16,5,2,3,1,1,0.1,0,0.145145358589895,0.11516456501830287
0.0009,4,16,5,2,4,1,1,0.1,0,0.2572268071436984,0.004228795710881321
0.0009,4,16,5,3,1,1,1,0.1,0,0.045007818491259,0.01232523880238107
0.0009,4,16,5,3,2,1,1,0.1,0,0.045666361803834904,0.012426643915204988
0.0009,4,16,5,3,3,1,1,0.1,0,0.04520502246391515,0.010350683333020179
0.0009,4,16,5,3,4,1,1,0.1,0,0.23980625042964762,0.025264385502962484
0.0009,4,16,5,4,1,1,1,0.1,0,0.04362230137127805,0.010667974191731192
0.0009,4,16,5,4,2,1,1,0.1,0,0.04139627312378982,0.011328285052146236
0.0009,4,16,5,4,3,1,1,0.1,0,0.1485097709142792,0.1233270473916561
0.0009,4,16,5,4,4,1,1,0.1,0,0.2570489835092319,0.004314898968682856
0.0009,4,16,7,2,1,1,1,0.1,0,0.04825248811479167,0.012365974769948539
0.0009,4,16,7,2,2,1,1,0.1,0,0.04479676650414448,0.014870287703278206
0.0009,4,16,7,2,3,1,1,0.1,0,0.2570004788152442,0.0041113731843538505
0.0009,4,16,7,2,4,1,1,0.1,0,0.2572135162850651,0.004251535964358555
0.0009,4,16,7,3,1,1,1,0.1,0,0.0449224682241778,0.01235359238385843
0.0009,4,16,7,3,2,1,1,0.1,0,0.043682974000685,0.006774503276367063
0.0009,4,16,7,3,3,1,1,0.1,0,0.04400662930814697,0.011288477569278615
0.0009,4,16,7,3,4,1,1,0.1,0,0.25641682455671677,0.003995263374407102
0.0009,4,16,7,4,1,1,1,0.1,0,0.0448841409503723,0.012825416649216612
0.0009,4,16,7,4,2,1,1,0.1,0,0.0409882510447792,0.01016584440074923
0.0009,4,16,7,4,3,1,1,0.1,0,0.14319774480724584,0.11708585860626988
0.0009,4,16,7,4,4,1,1,0.1,0,0.14337520686967997,0.08889355801053926
