lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0001,4,16,3,3,2,1,1,0.1,0,0.04738063341836445,0.017490509018473974
0.0001,8,16,3,3,2,1,1,0.1,0,0.05331447560759668,0.01513156267899697
0.0001,16,16,3,3,2,1,1,0.1,0,0.0538366428400816,0.015831762220742857
0.0001,32,16,3,3,2,1,1,0.1,0,0.054242086006722,0.017051508279099882
0.0001,64,16,3,3,2,1,1,0.1,0,0.05196076707353367,0.017601965691434598
0.0002,4,16,3,3,2,1,1,0.1,0,0.048665176567691926,0.015363141998433739
0.0002,8,16,3,3,2,1,1,0.1,0,0.0503939965426161,0.011319710158364096
0.0002,16,16,3,3,2,1,1,0.1,0,0.049546416902305476,0.015904781482320354
0.0002,32,16,3,3,2,1,1,0.1,0,0.04857153321560427,0.01428312760867922
0.0002,64,16,3,3,2,1,1,0.1,0,0.04894616124951965,0.015964820901543574
0.0003,4,16,3,3,2,1,1,0.1,0,0.04811141450195225,0.013421103123324223
0.0003,8,16,3,3,2,1,1,0.1,0,0.05067570866649765,0.016799989352499992
0.0003,16,16,3,3,2,1,1,0.1,0,0.0492730796498081,0.013953157543379105
0.0003,32,16,3,3,2,1,1,0.1,0,0.04962811256624245,0.017035169902660924
0.0003,64,16,3,3,2,1,1,0.1,0,0.04747341857434792,0.015173073422122867
0.0004,4,16,3,3,2,1,1,0.1,0,0.04836827637421195,0.013807997105871498
0.0004,8,16,3,3,2,1,1,0.1,0,0.04916802044500607,0.01698647203556915
0.0004,16,16,3,3,2,1,1,0.1,0,0.050671236635730824,0.015518119231367018
0.0004,32,16,3,3,2,1,1,0.1,0,0.047283929599444025,0.015125327253768146
0.0004,64,16,3,3,2,1,1,0.1,0,0.04936889278008817,0.01502470728738924
0.0005,4,16,3,3,2,1,1,0.1,0,0.047575358677758625,0.01783972471939673
0.0005,8,16,3,3,2,1,1,0.1,0,0.04849365161659355,0.019725331377857685
0.0005,16,16,3,3,2,1,1,0.1,0,0.05189401249211208,0.014502155046589348
0.0005,32,16,3,3,2,1,1,0.1,0,0.0482882154796091,0.014243506581880512
0.0005,64,16,3,3,2,1,1,0.1,0,0.05060228565319436,0.016066105468620796
0.0006,4,16,3,3,2,1,1,0.1,0,0.043679630788207496,0.01250482050241768
0.0006,8,16,3,3,2,1,1,0.1,0,0.04458301891126165,0.01931828699104855
0.0006,16,16,3,3,2,1,1,0.1,0,0.0475199704715941,0.011899911954507139
0.0006,32,16,3,3,2,1,1,0.1,0,0.05248829200609417,0.013280899852736375
0.0006,64,16,3,3,2,1,1,0.1,0,0.04838633605889235,0.015975349516542413
0.0007,4,16,3,3,2,1,1,0.1,0,0.05070861790909325,0.012232762629740868
0.0007,8,16,3,3,2,1,1,0.1,0,0.04718686673329785,0.018617137987986858
0.0007,16,16,3,3,2,1,1,0.1,0,0.0481400809859032,0.015582156226938251
0.0007,32,16,3,3,2,1,1,0.1,0,0.051073147403258225,0.015956628816363522
0.0007,64,16,3,3,2,1,1,0.1,0,0.049941384808514275,0.016807560206557978
0.0008,4,16,3,3,2,1,1,0.1,0,0.04676171160058187,0.012510578577331039
0.0008,8,16,3,3,2,1,1,0.1,0,0.048309950194922874,0.016408815648615176
0.0008,16,16,3,3,2,1,1,0.1,0,0.04954720362891005,0.01532226432298244
0.0008,32,16,3,3,2,1,1,0.1,0,0.050068200784940724,0.015859638490225512
0.0008,64,16,3,3,2,1,1,0.1,0,0.049063892439621025,0.014292651794451999
0.0009,4,16,3,3,2,1,1,0.1,0,0.04226261690787648,0.011491235548825737
0.0009,8,16,3,3,2,1,1,0.1,0,0.04632622995454072,0.011945200018166654
0.0009,16,16,3,3,2,1,1,0.1,0,0.05079700509103657,0.01651986306220608
0.0009,32,16,3,3,2,1,1,0.1,0,0.05019492930069997,0.013848033819890642
0.0009,64,16,3,3,2,1,1,0.1,0,0.04899149255248715,0.014465435778821109
0.001,4,16,3,3,2,1,1,0.1,0,0.04752564939363532,0.012048802757059366
0.001,8,16,3,3,2,1,1,0.1,0,0.049994002319230325,0.016105043199064275
0.001,16,16,3,3,2,1,1,0.1,0,0.048263545003518524,0.015624770967950242
0.001,32,16,3,3,2,1,1,0.1,0,0.046601882026790976,0.010255626671512448
0.001,64,16,3,3,2,1,1,0.1,0,0.04854614624978765,0.015825601603176972
