lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0006,4,4,3,3,2,1,1,0.1,0,0.04995603779807607,0.017965514370594224
0.0006,4,8,3,3,2,1,1,0.1,0,0.044871675629416005,0.016417020566253427
0.0006,4,16,3,3,2,1,1,0.1,0,0.043679630788207496,0.01250482050241768
0.0006,4,32,3,3,2,1,1,0.1,0,0.0507636696604059,0.018935607303937205
0.0006,4,64,3,3,2,1,1,0.1,0,0.048075839090437,0.010742760626803875
0.0006,8,4,3,3,2,1,1,0.1,0,0.05120853961472637,0.014368460408625067
0.0006,8,8,3,3,2,1,1,0.1,0,0.049214486383930924,0.013732897847021306
0.0006,8,16,3,3,2,1,1,0.1,0,0.04458301891126165,0.01931828699104855
0.0006,8,32,3,3,2,1,1,0.1,0,0.0464646060474391,0.01944567823753675
0.0006,8,64,3,3,2,1,1,0.1,0,0.04626849944291685,0.00866336019794543
0.0009,4,4,3,3,2,1,1,0.1,0,0.05891570549646867,0.02790667671345293
0.0009,4,8,3,3,2,1,1,0.1,0,0.043270055495143095,0.017285066939399532
0.0009,4,16,3,3,2,1,1,0.1,0,0.04226261690787648,0.011491235548825737
0.0009,4,32,3,3,2,1,1,0.1,0,0.04610920557270583,0.013967076040124295
0.0009,4,64,3,3,2,1,1,0.1,0,0.15808038894458715,0.11863961586378957
0.0009,8,4,3,3,2,1,1,0.1,0,0.05028638881657677,0.014648706189293375
0.0009,8,8,3,3,2,1,1,0.1,0,0.050566803879841,0.016068105128090863
0.0009,8,16,3,3,2,1,1,0.1,0,0.04632622995454072,0.011945200018166654
0.0009,8,32,3,3,2,1,1,0.1,0,0.047399885714583825,0.015360011676167601
0.0009,8,64,3,3,2,1,1,0.1,0,0.09089262725701092,0.10438192812448863
