lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,3,3,2,1,1,0.0,B0005,0.0020332749506148198,0.0021346032195391934,0.7434862232362969,0.046201766411460864,31,0.7931358696501932
0.0007,16,16,3,3,2,1,1,0.0,B0006,0.004322449623776431,0.003023162988635401,0.9354333881732898,0.05498329736052032,13,0.8262499362703354
0.0007,16,16,3,3,2,1,1,0.0,B0007,0.003852336861503621,0.0009321191588242073,0.7362080929006408,0.030530626571104093,41,0.7310050739036812
0.0007,16,16,3,3,2,1,1,0.0,B0018,0.003587525049426957,0.0029720349557464942,0.8621797453128419,0.05451637328130416,28,0.8710690797903599
0.0007,16,16,3,3,2,1,1,0.1,B0005,0.0038482082863560037,0.002137814078845882,0.023289259483500243,0.04564619502429251,15,0.8091494413522574
0.0007,16,16,3,3,2,1,1,0.1,B0006,0.005388091863344677,0.003248885778399805,0.032097926393100745,0.05608794979199118,51,0.8150698170803561
0.0007,16,16,3,3,2,1,1,0.1,B0007,0.003093624322597558,0.0005369013339077356,0.015586937623114179,0.022640805707090077,69,0.7274440436803994
0.0007,16,16,3,3,2,1,1,0.1,B0018,0.004171021419334347,0.00363110760129833,0.027410366627012822,0.059631994050985695,17,0.8310299916053886
0.0007,16,16,3,3,2,1,1,0.2,B0005,0.0018584199438226364,0.0007483500708726101,0.01307058847403281,0.026724184024334442,90,0.777667270387922
0.0007,16,16,3,3,2,1,1,0.2,B0006,0.012884260229343041,0.004076255563025673,0.07332915401418338,0.05477976431070103,5,0.7756307948719371
0.0007,16,16,3,3,2,1,1,0.2,B0007,0.0019277619042744238,0.0010944674635538832,0.011973368288836262,0.03264651852743622,85,0.6696449403409604
0.0007,16,16,3,3,2,1,1,0.2,B0018,0.004046063989137664,0.004042412600635241,0.019364729701337048,0.06298741181707514,30,0.7876507937908173
0.0007,16,16,3,3,2,1,1,0.3,B0005,0.003938054998538324,0.0022951145323791672,0.018474200827081132,0.04682654884688977,26,0.7333816760464719
0.0007,16,16,3,3,2,1,1,0.3,B0006,0.0026782093178057535,0.002746086393017322,0.03150016485399018,0.04948139290235085,14,0.7479596696794033
0.0007,16,16,3,3,2,1,1,0.3,B0007,0.002110688636700312,0.0010355639697081642,0.014652058233374147,0.031163425823083863,76,0.6585742878535438
0.0007,16,16,3,3,2,1,1,0.3,B0018,0.002265492823663289,0.0041270686585145695,0.020193019263968368,0.06328302537793191,25,0.7808832295735677
0.0007,16,16,3,3,2,1,1,0.4,B0005,0.003190211718901992,0.0028218937409941907,0.016047360262296674,0.0521429434962894,16,0.7443726640759092
0.0007,16,16,3,3,2,1,1,0.4,B0006,0.0035286102634431286,0.004593695824344953,0.028128611616420888,0.06540036945782701,22,0.76526982916726
0.0007,16,16,3,3,2,1,1,0.4,B0007,0.0028215778551788796,0.0008651584816107061,0.012934331580419069,0.028253136651489957,66,0.6732320045602733
0.0007,16,16,3,3,2,1,1,0.4,B0018,0.003728287967691279,0.003701161340965579,0.021935232952176937,0.05923427721390327,20,0.7948277916227068
0.0007,16,16,3,3,2,1,1,0.5,B0005,0.002350992201605723,0.002323061423209895,0.011947134739606067,0.0474520229384033,41,0.748476872077355
0.0007,16,16,3,3,2,1,1,0.5,B0006,0.0029571739670989864,0.0033883550592387715,0.020665513255422752,0.056345570207214014,76,0.7557083708899361
0.0007,16,16,3,3,2,1,1,0.5,B0007,0.0015978210172357245,0.001294068613788113,0.014755959725448967,0.03442672578219036,63,0.734900772044089
0.0007,16,16,3,3,2,1,1,0.5,B0018,0.0025324133356385255,0.004045775014674291,0.01853099269349535,0.062242077021798826,22,0.9795480734772153
0.0007,16,16,3,3,2,1,1,0.6,B0005,0.0015069937466510705,0.001852192188380286,0.0165096837075278,0.04109319121649697,96,0.8988840384026097
0.0007,16,16,3,3,2,1,1,0.6,B0006,0.002648044419898228,0.004622803147261341,0.02178163088433888,0.06586455429809424,38,0.9197336164387789
0.0007,16,16,3,3,2,1,1,0.6,B0007,0.0026222831543741953,0.0007405428958008997,0.0113373708753444,0.025756966078687087,42,0.8083281853924627
0.0007,16,16,3,3,2,1,1,0.6,B0018,0.0031176952179521322,0.003961574082495645,0.01961247348015849,0.06108014912054738,25,0.9391063976287842
0.0007,16,16,3,3,2,1,1,0.7,B0005,0.002087509822255621,0.0020879683501594365,0.017725343673297016,0.043220792489533116,41,0.8896362755324815
0.0007,16,16,3,3,2,1,1,0.7,B0006,0.0038696620719168673,0.0030770277759681144,0.022818946969375573,0.052081999786510694,36,0.9219252453293911
0.0007,16,16,3,3,2,1,1,0.7,B0007,0.002605727893145134,0.0009246175643056632,0.011664632391307803,0.028798837014761568,38,0.8289791670712557
0.0007,16,16,3,3,2,1,1,0.7,B0018,0.0038901965194584236,0.004540209047263488,0.025450975193896924,0.06392794890603419,14,0.9537300914525986
0.0007,16,16,3,3,2,1,1,0.8,B0005,0.0037028002414098453,0.0027011828122860087,0.017768695720332593,0.049483346445565936,21,0.8871658822180519
0.0007,16,16,3,3,2,1,1,0.8,B0006,0.004130907483737577,0.004748641978949308,0.0329506603814581,0.06229000853499664,14,0.7923397198319435
0.0007,16,16,3,3,2,1,1,0.8,B0007,0.002739358072479566,0.0010618753716698849,0.015592827751142183,0.029451083894697243,83,0.664689150071682
0.0007,16,16,3,3,2,1,1,0.8,B0018,0.004022805536489772,0.0038971511724715433,0.02691502674728498,0.0575987524036838,22,0.7863313323921628
0.0007,16,16,3,3,2,1,1,0.9,B0005,0.002660058258611354,0.0024429316482772784,0.014653629847299062,0.04743074613787144,41,0.7415408433138669
0.0007,16,16,3,3,2,1,1,0.9,B0006,0.0027064672189722346,0.004754632168139021,0.021129761245530145,0.06597584373676603,43,0.7652902090421287
0.0007,16,16,3,3,2,1,1,0.9,B0007,0.0035563267431118423,0.0012436616671038792,0.01242263118315026,0.033238111892535595,62,0.6903501536164965
0.0007,16,16,3,3,2,1,1,0.9,B0018,0.004514316339855609,0.0044624485696355505,0.023117814875457648,0.06309880011666844,12,0.803909590167384
0.0007,16,16,3,3,2,1,1,1.0,B0005,0.0035173179459802454,0.0026384968160917716,0.012423604501946447,0.04984125621687861,35,0.7481287283055923
0.0007,16,16,3,3,2,1,1,1.0,B0006,0.0054620355896821075,0.00372652536801373,0.02618266588477778,0.05514520236294971,18,0.7524016534580904
0.0007,16,16,3,3,2,1,1,1.0,B0007,0.0031634313895160127,0.0009087643054954242,0.011912460874778671,0.027692193671057186,44,0.6705729225848583
0.0007,16,16,3,3,2,1,1,1.0,B0018,0.005792373548383298,0.005456795644325514,0.029983892592175158,0.06751119708858412,7,0.7974819718745717
