lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,3,3,2,1,1,0.1,B0005,0.0012512556221779612,0.001224635268694588,0.01510903578195848,0.03466708727664382,59,0.7961944724441669
0.0007,16,16,3,3,2,1,1,0.1,B0006,0.00405999432339079,0.0029887011526928595,0.024015080136371242,0.054138976434996926,56,0.8227489084567664
0.0007,16,16,3,3,2,1,1,0.1,B0007,0.0013235829424552827,0.0008582434282288886,0.01472032503301511,0.02892360032639617,89,0.6944426100888699
0.0007,16,16,3,3,2,1,1,0.1,B0018,0.005081538576632738,0.0022520489049687362,0.03742118261202119,0.045956658354854886,7,0.8105776937384355
0.0007,16,16,3,3,2,1,2,0.1,B0005,0.0017499810201115906,0.0024374279206053223,0.010645522031507482,0.04925540764365492,150,0.7530682146549225
0.0007,16,16,3,3,2,1,2,0.1,B0006,0.0026441789549690757,0.0034187149140052497,0.023751095780994342,0.057985372175119676,69,0.7544367553807106
0.0007,16,16,3,3,2,1,2,0.1,B0007,0.0031242709826781517,0.0010155732874409296,0.01549118002238144,0.03148929397860719,61,0.6755410808700699
0.0007,16,16,3,3,2,1,2,0.1,B0018,0.0022733898722040262,0.0036994767239472517,0.02863177367834821,0.060145646805486945,19,0.8064713270767875
0.0007,16,16,3,3,2,1,4,0.1,B0005,0.0029655255299682417,0.0016109862741099537,0.01451501781833019,0.03987377185250207,40,0.7514562845230103
0.0007,16,16,3,3,2,1,4,0.1,B0006,0.0058594654547050595,0.003710208577103913,0.03512114196011198,0.0598903928126652,11,0.768367669621452
0.0007,16,16,3,3,2,1,4,0.1,B0007,0.003132278306616677,0.0010373780089139473,0.016334184333739236,0.031791468503515566,46,0.6782524685064951
0.0007,16,16,3,3,2,1,4,0.1,B0018,0.0012453627372767937,0.0042914610433702665,0.019347864697640927,0.06522290374376065,102,0.7991648896744377
0.0007,16,16,3,3,2,2,1,0.1,B0005,0.00217820755815843,0.0023101335557709846,0.012278172993579799,0.04790676548305075,29,0.7557153701782227
0.0007,16,16,3,3,2,2,1,0.1,B0006,0.0037277401583692567,0.003131154536580046,0.03162549432126529,0.05505576538712972,15,0.7730326395768385
0.0007,16,16,3,3,2,2,1,0.1,B0007,0.0021735997159137493,0.0008412421062530484,0.010230491274016295,0.02882318217622304,100,0.6924498208363851
0.0007,16,16,3,3,2,2,1,0.1,B0018,0.002458930997501897,0.0046396751422435045,0.02775417366817327,0.06754735911738378,30,0.8253296047449112
0.0007,16,16,3,3,2,2,2,0.1,B0005,0.00273497789055996,0.0018406215635228104,0.012236054458843989,0.04272761997860341,48,0.7648961130453615
0.0007,16,16,3,3,2,2,2,0.1,B0006,0.0034369409549981356,0.002926871723805865,0.03385531952886412,0.053030684197894945,22,0.7836215164926317
0.0007,16,16,3,3,2,2,2,0.1,B0007,0.0026026960242436165,0.0008423521283475565,0.014015852838094712,0.028682882152047874,60,0.7034972407601097
0.0007,16,16,3,3,2,2,2,0.1,B0018,0.0037214333677421446,0.0057441539053494734,0.030562082979337046,0.07517146944227883,8,0.8145139916189785
0.0007,16,16,3,3,2,2,4,0.1,B0005,0.00319247373512813,0.001793286661268212,0.01846528384189087,0.04194269835150507,25,0.7554044119517008
0.0007,16,16,3,3,2,2,4,0.1,B0006,0.0036784495406953447,0.0040507980932792025,0.021103834131549676,0.06329502991524787,33,0.788259802094425
0.0007,16,16,3,3,2,2,4,0.1,B0007,0.001960407515677313,0.000824991641275119,0.013843863681257227,0.02838708132591284,88,0.6961763509805652
0.0007,16,16,3,3,2,2,4,0.1,B0018,0.004923439377149486,0.004257992530862491,0.025949085531240198,0.06473528454179149,8,0.8218864901312466
0.0007,16,16,3,3,2,4,1,0.1,B0005,0.003129407586086364,0.0023382264064691427,0.0198616967253778,0.047945570468777454,25,0.770554895401001
0.0007,16,16,3,3,2,4,1,0.1,B0006,0.006884497108826922,0.003922466634927939,0.03623484154983877,0.06157247935683293,19,0.7948257750359135
0.0007,16,16,3,3,2,4,1,0.1,B0007,0.0030438797613088456,0.00047531316777167377,0.018211361070432,0.02102731099196539,25,0.7043777815500896
0.0007,16,16,3,3,2,4,1,0.1,B0018,0.003950606186307319,0.004671423511657243,0.03430187490042798,0.06748156586045931,7,0.8052011916511937
0.0007,16,16,3,3,2,4,2,0.1,B0005,0.0037537234713367765,0.0022722956948980156,0.0168697399673339,0.04736915545455719,20,0.7503664255142212
0.0007,16,16,3,3,2,4,2,0.1,B0006,0.0041989122453907676,0.002862254506908357,0.02924421262040893,0.05269470753898644,24,0.7775412540178042
0.0007,16,16,3,3,2,4,2,0.1,B0007,0.0026388259074236783,0.0010981532208461432,0.010474829224047197,0.03297242834714059,71,0.7055801557115287
0.0007,16,16,3,3,2,4,2,0.1,B0018,0.003475282103349657,0.003798068695080777,0.027083435043119525,0.06103046383303974,16,0.8365124030546709
0.0007,16,16,3,3,2,4,4,0.1,B0005,0.0021873031981245036,0.002866266216317724,0.0170973714967849,0.05326381735378091,22,0.7775448693169488
0.0007,16,16,3,3,2,4,4,0.1,B0006,0.0035192057575014505,0.0038333927417018763,0.02852839987397391,0.061253618040669366,21,0.8010134562640123
0.0007,16,16,3,3,2,4,4,0.1,B0007,0.0024152637084221672,0.000815919443994062,0.0225284332527044,0.027661641670966294,37,0.7037000190252545
0.0007,16,16,3,3,2,4,4,0.1,B0018,0.008695966346472826,0.004628507750264059,0.032842088660033304,0.06723576028122813,6,0.8168032595089504
