lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,2,2,1,1,1,0.1,B0005,0.00333096466714605,0.0022974763290091816,0.012351307858130078,0.047772595389578995,142,0.6341062175730864
0.0007,16,16,2,2,1,1,1,0.1,B0006,0.003554227275096557,0.0032755673164501786,0.02481184606138832,0.05669219105976194,53,0.7223809228360074
0.0007,16,16,2,2,1,1,1,0.1,B0007,0.004191661020740867,0.0009982374642277137,0.011600612158712177,0.03138120495992975,63,0.6165442129152011
0.0007,16,16,2,2,1,1,1,0.1,B0018,0.029781973961254826,0.0035731460472258427,0.13196233706411248,0.042798832952661334,2,0.7595413556465735
0.0007,16,16,2,2,2,1,1,0.1,B0005,0.000826285466332809,0.0021009931328340565,0.01677769487461914,0.045528497056026934,115,1.1827826846729625
0.0007,16,16,2,2,2,1,1,0.1,B0006,0.004661565694153647,0.002582698711194098,0.02262818189547413,0.05031396622729023,26,1.2397160875169855
0.0007,16,16,2,2,2,1,1,0.1,B0007,0.003827865144962238,0.0007261496008140967,0.018632301956262077,0.026295119879635946,42,1.0810211663660796
0.0007,16,16,2,2,2,1,1,0.1,B0018,0.00379453577435292,0.004545649630017579,0.034291086496923695,0.0665436826111915,11,1.2344211164068004
0.0007,16,16,2,2,3,1,1,0.1,B0005,0.0007094547562744646,0.0013461235253739037,0.015237494118705779,0.036371767008354317,100,1.6448874473571777
0.0007,16,16,2,2,3,1,1,0.1,B0006,0.0031803714942229403,0.0021277756022755057,0.026768295250783114,0.04534447527671703,23,1.7621923244162783
0.0007,16,16,2,2,3,1,1,0.1,B0007,0.0025289546594851548,0.0011307078799291047,0.016225602357199147,0.0332322262562013,37,1.506684281360144
0.0007,16,16,2,2,3,1,1,0.1,B0018,0.005542200142213994,0.0036151963383114585,0.02529200500047703,0.0595921788315035,19,1.8128146019534788
0.0007,16,16,2,2,4,1,1,0.1,B0005,0.0008795095117030931,0.0018246349458682484,0.014168267095517093,0.04248012452933498,130,1.9948937535285949
0.0007,16,16,2,2,4,1,1,0.1,B0006,0.0034965414617379956,0.0025948104642642042,0.024180709789644882,0.05036208656252309,55,1.508376085190546
0.0007,16,16,2,2,4,1,1,0.1,B0007,0.004307512284463478,0.0011558125945157372,0.01879257715166749,0.03347381860204969,34,1.0469348033269246
