dataset,model_dim,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,32,7,4,3,1,B0005,0.0038839512377638707,0.0020348475918581244,0.01237863473041085,0.04493912002694497,33,0.78917858285724
NASA,32,7,4,3,1,B0006,0.0051073369527743625,0.004599366957942645,0.03237698859675208,0.06704133057526107,31,0.7531942900489358
NASA,32,7,4,3,1,B0007,0.0035069812244425216,0.001068549501360394,0.016136105449360276,0.03228795582296817,30,0.6377638149261474
NASA,32,7,4,3,1,B0018,0.0038286949590352983,0.003658618913808217,0.023255672945340734,0.06003779087217415,22,0.7941520724977765
NASA,32,5,1,2,8,B0005,0.002984505432488566,0.001756731879140716,0.011829941384556477,0.04174610288176299,51,0.3177913880684006
NASA,32,5,1,2,8,B0006,0.0031196785434572535,0.003913012721265356,0.03434689019987846,0.06160391043024749,28,0.29302988449732464
NASA,32,5,1,2,8,B0007,0.004437157832500007,0.0009980331640690565,0.01880181036553815,0.031027123432410972,29,0.25330158155791616
NASA,32,5,1,2,8,B0018,0.0036037745497499904,0.003976087823199729,0.026457450671011185,0.06249870544821437,21,0.3226110411853325
NASA,32,5,4,3,1,B0005,0.003025352425703948,0.001604996774403844,0.013119278126249545,0.039847022544089644,47,0.7367637869137437
NASA,32,5,4,3,1,B0006,0.0038704446686262436,0.0037258979864418507,0.03540883004779113,0.060004328684990615,17,0.7125855265436946
NASA,32,5,4,3,1,B0007,0.003763409952322642,0.0011683924036333337,0.017423423866095248,0.03373477168895451,30,0.629216947555542
NASA,32,5,4,3,1,B0018,0.003243978009171163,0.004822992409269015,0.018832928016902516,0.06919193901607147,23,0.7670200370078863
NASA,32,7,1,4,4,B0005,0.0024256440070034428,0.00150033177487785,0.014747582873176757,0.038452342199412605,40,0.5647947033246358
NASA,32,7,1,4,4,B0006,0.0036993540654128246,0.002666713553480804,0.03386252294207413,0.05051778417698028,13,0.5561600453925856
NASA,32,7,1,4,4,B0007,0.003915314717839162,0.0011750802921596914,0.012817938599570936,0.034038953074338775,28,0.4792241007089615
NASA,32,7,1,4,4,B0018,0.005780671432148665,0.0033807857738186917,0.028138774809530247,0.057459610371117874,21,0.5875171335732065
NASA,32,5,1,4,4,B0005,0.06308635459704832,0.05890482268296182,0.09325237377142584,0.24090500882951427,13,0.5392374486634226
NASA,32,5,1,4,4,B0006,0.006896426583724943,0.003957499206687014,0.04280296769493058,0.061435249616730164,14,0.5337834358215332
NASA,32,5,1,4,4,B0007,0.005011020590447717,0.0012968346825800836,0.017429161801286678,0.03558731688373557,37,0.46249132825617206
NASA,32,5,1,4,4,B0018,0.011642742475184301,0.004067245948438843,0.03699718292024185,0.06269263715373678,8,0.5732661145074027
NASA,32,3,1,3,2,B0005,0.0018082640916955743,0.0016657299711368978,0.010342308799285705,0.040682104402182735,58,0.40735753988608336
NASA,32,3,1,3,2,B0006,0.002842790743505413,0.0028269944402078786,0.026012682555618574,0.052529310127271286,33,0.4104704721918646
NASA,32,3,1,3,2,B0007,0.003492270932636327,0.0010861436923732982,0.011133688980555619,0.03276809061742412,40,0.36114368836085003
NASA,32,3,1,3,2,B0018,0.07266017484168212,0.06653667365511258,0.0613209929591509,0.2572171201302841,9,0.45296852342013655
NASA,32,2,1,3,4,B0005,0.0646002319726077,0.07210514415055513,0.08286424556119015,0.2672423915638664,20,0.4094967722892761
NASA,32,2,1,3,4,B0006,0.0030461747241629796,0.003961916469658415,0.02547129419561318,0.062426258458624415,26,0.4155807806097943
NASA,32,2,1,3,4,B0007,0.00296516799264484,0.0012230438180267811,0.013819792202693857,0.03469791260901746,43,0.35993990065559506
NASA,32,2,1,3,4,B0018,0.0016821162086368229,0.0027168786618858576,0.021630239663941522,0.05167293167522587,57,0.4478955857165448
NASA,32,7,1,3,2,B0005,0.0020226792760447347,0.0018517213975428604,0.01162388423811083,0.04287435023266864,58,0.47295253704755735
NASA,32,7,1,3,2,B0006,0.002916140312498266,0.003473097109235823,0.025706973821876516,0.05836961747669796,33,0.457604835618217
NASA,32,7,1,3,2,B0007,0.0036556553354279864,0.001078906556358561,0.011880500966404396,0.03263114971930307,40,0.40953168471654255
NASA,32,7,1,3,2,B0018,0.0726588557784756,0.06653688444445531,0.061319144466141486,0.2572175757427259,9,0.4946072594872836
NASA,32,3,1,3,4,B0005,0.0027048443602821367,0.0020013561952509917,0.011551289996020668,0.04458713930277792,57,0.42769612894429787
